"","id","x","y","HBWID","focal","ncell","area","neighbours","nothing","biome_area_1","biome_area_2","biome_area_3","biome_area_4","biome_area_5","biome_area_6","biome_area_7","biome_area_8","biome_area_9","biome_area_10","biome_area_11","biome_area_12","biome_area_13","biome_area_14","LC_0","LC_1","LC_2","LC_3","LC_4","LC_5","LC_6","LC_7","LC_8","LC_9","LC_10","LC_11","LC_12","LC_13","LC_14","LC_15","LC_16","srTotal","srCarnivore","srOmnivore","srHerbivore","srNonthreatened","srThreatened","lt10kg","lt100kg","gt100kg","rs1","rs2","rs3","nocturnal","crepuscular","diurnal","crep_diurn","noct_crep_diurn","noct_crep","nothing","biome_1","biome_2","biome_3","biome_4","biome_5","biome_6","biome_7","biome_8","biome_9","biome_10","biome_11","biome_12","biome_13","biome_14","LC_sp_0","LC_sp_1","LC_sp_2","LC_sp_3","LC_sp_4","LC_sp_5","LC_sp_6","LC_sp_7","LC_sp_8","LC_sp_9","LC_sp_10","LC_sp_11","LC_sp_12","LC_sp_13","LC_sp_14","LC_sp_15","LC_sp_16","h_mean","h_pc0","fer_mean","fer_pc","irr_area_p","rice_ha","cereal_ha","wheat_ha","maize_ha","oil_p_ha","soy_ha","h_mean_cut","fer_mean_cut","fer_pc_cut","irr_area_p_cut","rice_ha_cut","cereal_ha_cut","wheat_ha_cut","maize_ha_cut","oil_p_ha_cut","soy_ha_cut"
"1",1,-82.5,33.00047,9098,1,1,12364.3,"9098",0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,53,24,16,13,53,0,50,3,0,0,3,50,29,0,3,0,11,10,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0.460298,100,6.5159,100,2.63571,1e-04,0.0233278,0.0129833,0.00712222,0,0.0131944,"High","Low","High","Low","Low","Low","Low","Low",NA,"Low"
"2",2,-98.5,47.448,5122,1,1,12364.3,"5122",0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,54,22,17,15,54,0,50,4,0,0,0,54,24,0,8,0,13,9,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0.62668,100,37.2462,100,0.463793,1e-04,0.317884,0.226977,0.0146481,0,0.0613935,"High","Medium","High","Low","Low","Medium","Medium","Low",NA,"Medium"
"3",3,96.5,50.49615,4597,3,9,111278.7,"4236,4237,4238,4596,4597,4598,4956,4957,4958",0,0,0,24728.6,0,49457.2,0,37092.9,0,0,0,0,0,0,0,0,0,0,0,0,37092.9,0,0,0,0,74185.8,0,0,0,0,0,0,94,29,19,46,88,5,77,12,5,0,3,91,32,0,12,7,31,11,0,0,0,76,0,83,0,87,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,90,0,0,0,0,0,0,0.0428580222222222,86.8267666666667,0.0616567077777778,49.7150888888889,0.103336256666667,1e-04,0.00225259765555556,0.00178457276666667,2.58284955555556e-05,0,1.41325555555556e-05,"Low","Low","Medium","Low","Low","Low","Low","Low",NA,"Low"
"4",4,141.5,68.25572,1402,3,9,108735.99359,"1041,1042,1043,1401,1402,1403,1761,1762,1763",0,49457.2,59278.79359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108735.99359,0,0,0,0,0,0,0,0,0,36,10,7,19,34,2,27,6,3,0,0,36,9,0,7,2,15,3,0,36,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0.0296523566666667,44.1256722222222,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"5",5,-8.5,30.64625,9892,3,8,92365.66783,"NA,9532,9533,9891,9892,9893,10251,10252,10253",0,0,0,0,0,0,0,12364.3,0,80001.36783,0,0,0,0,0,0,0,0,0,0,0,0,67637.06783,0,0,0,0,0,0,0,0,24728.6,76,40,26,10,67,8,65,11,0,3,6,67,48,0,6,4,3,15,0,0,0,0,0,0,0,46,0,76,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,54,0.2749182375,87.0905375,2.01330325,89.375,4.36650975,1e-04,0.101523915,0.035608568625,0.0055982095,0,0,"Medium","Low","High","Low","Low","Low","Low","Low",NA,NA
"6",6,32.5,57.29166,3093,3,9,111278.7,"2732,2733,2734,3092,3093,3094,3452,3453,3454",0,0,37092.9,0,74185.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,65,33,16,16,63,2,56,6,3,0,0,65,31,1,3,1,18,10,0,0,53,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0.210516888888889,100,0.972727222222222,100,0.0908111277777778,1e-04,0.0148031388888889,0.00257049655555556,0.000419254777777778,0,0.000223846466666667,"Medium","Low","High","Low","Low","Low","Low","Low",NA,"Low"
"7",7,128.5,68.25572,1389,1,1,12364.3,"1389",0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,26,9,5,12,25,1,18,6,2,0,0,26,7,0,7,1,8,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0.00202298,11.6162,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"8",8,86.5,31.81585,9627,3,9,111278.7,"9266,9267,9268,9626,9627,9628,9986,9987,9988",0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,21,5,4,12,18,3,10,6,5,0,2,19,3,0,2,4,6,6,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0.0200920403333333,42.2558675555556,0.00275926377777778,13.5802555555556,0,1e-04,0,0,0,0,0,"Low","Low","Low",NA,"Low",NA,NA,NA,NA,NA
"9",9,-9.5,11.27734,16371,3,9,111278.7,"16010,16011,16012,16370,16371,16372,16730,16731,16732",0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,37092.9,74185.8,0,0,0,0,0,0,0,148,62,43,42,136,9,117,22,9,0,17,131,102,0,16,8,14,8,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,139,118,0,0,0,0,0,0,0,0.0994957555555556,100,0.197367277777778,100,0.467286010555556,0.00556380255555556,0.0143201077777778,0,0.003033123,0.00438669320444444,0,"Low","Low","High","Low","Low","Low",NA,"Low","Medium",NA
"10",10,24.5,48.94875,4885,1,1,12364.3,"4885",0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,70,38,19,13,69,0,63,5,2,1,2,67,34,1,5,1,18,10,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0.396579,100,2.07483,100,0.182242,1e-04,0.132472,0.0863287,0.00850463,0,0.000587963,"Medium","Low","High","Low","Low","Medium","Medium","Low",NA,"Low"
