"","id","x","y","HBWID","focal","ncell","area","neighbours","nothing","biome_area_1","biome_area_2","biome_area_3","biome_area_4","biome_area_5","biome_area_6","biome_area_7","biome_area_8","biome_area_9","biome_area_10","biome_area_11","biome_area_12","biome_area_13","biome_area_14","LC_0","LC_1","LC_2","LC_3","LC_4","LC_5","LC_6","LC_7","LC_8","LC_9","LC_10","LC_11","LC_12","LC_13","LC_14","LC_15","LC_16","srTotal","srCarnivore","srOmnivore","srHerbivore","srNonthreatened","srThreatened","lt10kg","lt100kg","gt100kg","rs1","rs2","rs3","nocturnal","crepuscular","diurnal","crep_diurn","noct_crep_diurn","noct_crep","nothing","biome_1","biome_2","biome_3","biome_4","biome_5","biome_6","biome_7","biome_8","biome_9","biome_10","biome_11","biome_12","biome_13","biome_14","LC_sp_0","LC_sp_1","LC_sp_2","LC_sp_3","LC_sp_4","LC_sp_5","LC_sp_6","LC_sp_7","LC_sp_8","LC_sp_9","LC_sp_10","LC_sp_11","LC_sp_12","LC_sp_13","LC_sp_14","LC_sp_15","LC_sp_16","h_mean","h_pc0","fer_mean","fer_pc","irr_area_p","rice_ha","cereal_ha","wheat_ha","maize_ha","oil_p_ha","soy_ha","h_mean_cut","fer_mean_cut","fer_pc_cut","irr_area_p_cut","rice_ha_cut","cereal_ha_cut","wheat_ha_cut","maize_ha_cut","oil_p_ha_cut","soy_ha_cut"
"1",1,106.5,50.49615,4607,1,1,12364.3,"4607",0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,68,32,12,24,65,3,57,8,3,0,0,68,25,0,6,3,24,9,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0.0910689,100,1.20367,100,1.22724,1e-04,0.0528246,0.0378465,0.00072807,0,0.000429825,"Low","Low","High","Low","Low","Low","Medium","Low",NA,"Low"
"2",2,4.5,17.47459,14225,3,9,111278.7,"13864,13865,13866,14224,14225,14226,14584,14585,14586",0,0,0,0,0,0,0,61821.5,0,0,0,49457.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111278.7,48,21,19,8,44,3,40,8,0,0,3,45,25,0,6,3,1,13,0,0,0,0,0,0,0,34,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.0226003422222222,5.60304,0.00553704,20.9876666666667,0.0014127,1e-04,0.000156695111111111,0,4.2735e-06,0,0,"Low","Low","Low","Low","Low","Low",NA,"Low",NA,NA
"3",3,94.5,52.09608,4235,3,9,111278.7,"3874,3875,3876,4234,4235,4236,4594,4595,4596",0,0,24728.6,37092.9,0,0,0,49457.2,0,0,0,0,0,0,0,0,24728.6,0,0,0,37092.9,0,0,0,0,49457.2,0,0,0,0,0,0,95,32,23,40,89,5,80,10,5,0,3,92,35,1,11,5,30,12,0,0,61,78,0,0,0,88,0,0,0,0,0,0,0,0,59,0,0,0,78,0,0,0,0,90,0,0,0,0,0,0,0.0709187222222222,98.3639666666667,0.204119711111111,45.9605222222222,0.318749711111111,3.61552222222222e-05,0.00825923777777778,0.00617428,0.000119094022222222,0,7.11732444444444e-05,"Low","Low","Medium","Low","Low","Low","Low","Low",NA,"Low"
"4",4,112.5,-1.79614,21173,5,20,238760.91175,"20451,20452,20453,20454,20455,20811,20812,20813,20814,20815,21171,21172,21173,21174,21175,21531,21532,21533,21534,21535,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,0,0,0,238760.91175,0,0,7399.26078,0,231361.65097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,67,45,41,111,30,145,6,2,3,31,119,102,1,34,2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,111,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199069465,99.78736,3.803475,100,0.06010625,0.019164927,0.019695838,0,0.000409027985,0.009762154,8.090277e-05,"Medium","Low","High","Low","Low","Low",NA,"Low","High","Low"
"5",5,118.5,55.48388,3539,7,49,605850.7,"2456,2457,2458,2459,2460,2461,2462,2816,2817,2818,2819,2820,2821,2822,3176,3177,3178,3179,3180,3181,3182,3536,3537,3538,3539,3540,3541,3542,3896,3897,3898,3899,3900,3901,3902,4256,4257,4258,4259,4260,4261,4262,4616,4617,4618,4619,4620,4621,4622",0,445114.8,49457.2,98914.4,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,284378.9,0,136007.3,0,111278.7,0,0,61821.5,0,0,0,12364.3,0,0,88,36,15,37,84,3,74,11,3,1,0,87,32,0,11,4,32,9,0,42,72,64,0,73,0,0,0,0,0,0,0,0,0,0,0,0,62,0,75,0,50,0,0,72,0,0,0,57,0,0,0.0515987020408163,70.9428510204082,0.444685522244898,30.7804448979592,0.022074512244898,1e-04,0.00828595095918367,0.00529328889591837,0.000105979252857143,0,6.37137116326531e-05,"Low","Low","Medium","Low","Low","Low","Low","Low",NA,"Low"
"6",6,50.5,65.69124,1671,7,33,380134.78608,"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954,NA,NA,1310,NA,1312,1313,1314,1668,1669,1670,1671,1672,1673,1674,2028,2029,2030,2031,2032,2033,2034,2388,2389,2390,2391,2392,2393,2394,2748,2749,2750,2751,2752,2753,2754",0,345194.0619,34940.72418,0,0,0,0,0,0,0,0,0,0,0,0,6453.95655,97908.0619,0,0,0,173100.2,0,28486.76763,74185.8,0,0,0,0,0,0,0,0,56,24,16,16,53,3,46,7,3,0,0,56,20,1,7,2,19,6,0,26,55,0,0,0,0,0,0,0,0,0,0,0,0,6,42,0,0,0,50,0,25,36,0,0,0,0,0,0,0,0,0.0486214147272727,75.7311493939394,0.197548029090909,40.1624090909091,0.0102653454545455,1e-04,0.00356754090909091,0.001340716,7.35353787878788e-05,0,4.0926686969697e-05,"Low","Low","Medium","Low","Low","Low","Low","Low",NA,"Low"
"7",7,95.5,59.19334,2796,3,9,111278.7,"2435,2436,2437,2795,2796,2797,3155,3156,3157",0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,24728.6,0,12364.3,0,74185.8,0,0,0,0,0,0,0,0,0,0,0,58,26,13,19,56,1,47,8,3,0,1,57,20,0,6,2,22,7,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,39,0,58,0,0,0,0,0,0,0,0,0,0,0,0.0572148666666667,87.7748111111111,0.233966255555556,39.2592666666667,0.0111876888888889,0.000358914766666667,0.00563552033333333,0.00358857088888889,6.98653222222222e-05,0,3.82996333333333e-05,"Low","Low","Medium","Low","Low","Low","Low","Low",NA,"Low"
"8",8,-74.5,4.20816,18826,1,1,12364.3,"18826",0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,82,74,59,187,12,204,9,3,7,35,174,169,1,13,2,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362842,100,8.13325,100,6.12323,0.0169583,0.0324375,0.00127778,0.00979167,0.00388889,8.33333e-05,"Medium","Low","High","Low","Low","Low","Low","Low","Medium","Low"
"9",9,123.5,13.32453,15784,3,1,7350.96273,"NA,NA,NA,NA,15784,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,0,0,0,7350.96273,0,0,7350.96273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,8,13,48,5,52,1,1,9,18,27,48,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496711,95.1219,21.1342,100,5.20262,0.128826,0.168243,0,0.0394167,0.000527778,0,"High","Medium","High","Low","Medium","Medium",NA,"Low","Low",NA
"10",10,110.5,-7.82034,23331,7,7,70824.73894,"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22968,22969,NA,NA,NA,NA,NA,NA,23329,23330,23331,23332,23333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,0,0,0,70824.73894,0,0,15657.74382,0,19747.13946,0,0,0,0,0,0,0,0,0,0,0,35419.85566,0,0,133,72,29,32,100,23,126,7,0,18,23,92,103,1,14,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,116,0,127,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0.595065714285714,99.4181428571429,62.3231,100,17.1540714285714,0.339079571428571,0.419174285714286,0,0.0800807285714286,0.00109394,0.0296245514285714,"High","High","High","Medium","High","High",NA,"Medium","Low","Medium"
