"","id","x","y","HBWID","focal","ncell","area","neighbours","nothing","biome_area_1","biome_area_2","biome_area_3","biome_area_4","biome_area_5","biome_area_6","biome_area_7","biome_area_8","biome_area_9","biome_area_10","biome_area_11","biome_area_12","biome_area_13","biome_area_14","LC_0","LC_1","LC_2","LC_3","LC_4","LC_5","LC_6","LC_7","LC_8","LC_9","LC_10","LC_11","LC_12","LC_13","LC_14","LC_15","LC_16","srTotal","srCarnivore","srOmnivore","srHerbivore","srNonthreatened","srThreatened","lt10kg","lt100kg","gt100kg","rs1","rs2","rs3","nocturnal","crepuscular","diurnal","crep_diurn","noct_crep_diurn","noct_crep","nothing","biome_1","biome_2","biome_3","biome_4","biome_5","biome_6","biome_7","biome_8","biome_9","biome_10","biome_11","biome_12","biome_13","biome_14","LC_sp_0","LC_sp_1","LC_sp_2","LC_sp_3","LC_sp_4","LC_sp_5","LC_sp_6","LC_sp_7","LC_sp_8","LC_sp_9","LC_sp_10","LC_sp_11","LC_sp_12","LC_sp_13","LC_sp_14","LC_sp_15","LC_sp_16","h_mean","h_pc0","fer_mean","fer_pc","irr_area_p","rice_ha","cereal_ha","wheat_ha","maize_ha","oil_p_ha","soy_ha","h_mean_cut","fer_mean_cut","fer_pc_cut","irr_area_p_cut","rice_ha_cut","cereal_ha_cut","wheat_ha_cut","maize_ha_cut","oil_p_ha_cut","soy_ha_cut"
"1",1,26.5,-16.00372,26127,3,9,111278.7,"25766,25767,25768,26126,26127,26128,26486,26487,26488",0,0,0,0,0,0,0,0,12364.3,0,0,98914.4,0,0,0,0,0,0,0,0,0,0,0,24728.6,86550.1,0,0,0,0,0,0,0,178,88,38,52,167,7,137,25,16,2,9,167,115,2,17,10,23,11,0,0,0,0,0,0,0,0,140,0,0,178,0,0,0,0,0,0,0,0,0,0,0,146,178,0,0,0,0,0,0,0,0.101250833333333,99.8575444444444,0.245642,100,0.3774283,1e-04,0.0102115966666667,0.000293328666666667,0.00921699222222222,0,5.82858777777778e-05,"Low","Low","High","Low","Low","Low","Low","Low",NA,"Low"
"2",2,-41.5,-17.04687,26419,3,9,111278.7,"26058,26059,26060,26418,26419,26420,26778,26779,26780",0,0,0,0,0,0,0,0,0,0,0,24728.6,86550.1,0,0,0,0,0,0,0,0,0,0,24728.6,86550.1,0,0,0,0,0,0,0,185,69,69,45,160,11,171,12,1,3,24,157,123,3,19,5,18,16,0,0,0,0,0,0,0,0,0,0,0,160,181,0,0,0,0,0,0,0,0,0,0,160,181,0,0,0,0,0,0,0,0.339241222222222,100,1.43400777777778,100,0.242365211111111,0.000402065815555556,0.00507241766666667,0,0.00452908733333333,9.43732222222222e-06,0,"Medium","Low","High","Low","Low","Low",NA,"Low","Low",NA
"3",3,135.5,-14.96599,25876,7,33,388778.50918,"NA,24794,NA,NA,NA,NA,NA,25153,25154,25155,25156,25157,NA,NA,25513,25514,25515,25516,NA,NA,NA,25873,25874,25875,25876,NA,NA,NA,26233,26234,26235,26236,26237,NA,NA,26593,26594,26595,26596,26597,26598,26599,26953,26954,26955,26956,26957,26958,26959",0,0,0,0,0,0,0,12364.3,0,0,0,376414.20918,0,0,0,16820.2778,0,0,0,0,0,0,136007.3,36814.70325,162043.32813,37092.9,0,0,0,0,0,0,80,42,17,20,70,9,75,5,0,10,23,47,68,0,0,0,2,10,0,0,0,0,0,0,0,27,0,0,0,80,0,0,0,49,0,0,0,0,0,0,59,54,71,36,0,0,0,0,0,0,0.0211840769090909,42.7631247272727,0.00968447051515152,8.36940606060606,0.00278192333333333,1e-04,0,0,0,0,0,"Low","Low","Low","Low","Low",NA,NA,NA,NA,NA
"4",4,101.5,34.20122,8922,3,9,111278.7,"8561,8562,8563,8921,8922,8923,9281,9282,9283",0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,126,42,30,54,112,12,101,19,6,0,22,104,51,1,13,10,36,15,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0.278152111111111,100,0.802005555555556,97.7777777777778,0.400922981111111,1e-04,0.00543637823333333,0.00369029689777778,0.000233333211111111,0,0.000898986317777778,"Medium","Low","High","Low","Low","Low","Low","Low",NA,"Low"
"5",5,99.5,43.17993,6400,13,169,2089566.7,"4234,4235,4236,4237,4238,4239,4240,4241,4242,4243,4244,4245,4246,4594,4595,4596,4597,4598,4599,4600,4601,4602,4603,4604,4605,4606,4954,4955,4956,4957,4958,4959,4960,4961,4962,4963,4964,4965,4966,5314,5315,5316,5317,5318,5319,5320,5321,5322,5323,5324,5325,5326,5674,5675,5676,5677,5678,5679,5680,5681,5682,5683,5684,5685,5686,6034,6035,6036,6037,6038,6039,6040,6041,6042,6043,6044,6045,6046,6394,6395,6396,6397,6398,6399,6400,6401,6402,6403,6404,6405,6406,6754,6755,6756,6757,6758,6759,6760,6761,6762,6763,6764,6765,6766,7114,7115,7116,7117,7118,7119,7120,7121,7122,7123,7124,7125,7126,7474,7475,7476,7477,7478,7479,7480,7481,7482,7483,7484,7485,7486,7834,7835,7836,7837,7838,7839,7840,7841,7842,7843,7844,7845,7846,8194,8195,8196,8197,8198,8199,8200,8201,8202,8203,8204,8205,8206,8554,8555,8556,8557,8558,8559,8560,8561,8562,8563,8564,8565,8566",0,0,37092.9,1088058.4,0,469843.4,234921.7,259650.3,0,0,0,0,0,0,0,0,0,0,0,0,123643,0,12364.3,0,0,1026236.9,0,0,0,0,0,927322.5,225,63,50,112,199,20,189,24,12,8,38,179,92,1,27,14,69,21,0,0,69,143,0,104,206,176,0,0,0,0,0,0,0,0,0,0,0,0,90,0,65,0,0,217,0,0,0,0,0,130,0.0574736543727811,58.5284821301775,1.64221260635562,55.0115135502959,0.62591402908284,0.000128533869822485,0.00769471637378698,0.0054829619564497,0.00116225221988166,0,0.00112121098236686,"Low","Low","Medium","Low","Low","Low","Low","Low",NA,"Low"
"6",6,-74.5,3.20602,19186,1,1,12364.3,"19186",0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,86,79,63,202,15,214,12,3,4,31,194,170,1,20,3,21,14,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245597,97.9167,2.19975,100,0.7368,0.0129653,0.0175764,0,0.0035,0.00131944,0.00120833,"Medium","Low","High","Low","Low","Low",NA,"Low","Low","Low"
"7",7,101.5,24.99018,11802,9,81,1001508.3,"10358,10359,10360,10361,10362,10363,10364,10365,10366,10718,10719,10720,10721,10722,10723,10724,10725,10726,11078,11079,11080,11081,11082,11083,11084,11085,11086,11438,11439,11440,11441,11442,11443,11444,11445,11446,11798,11799,11800,11801,11802,11803,11804,11805,11806,12158,12159,12160,12161,12162,12163,12164,12165,12166,12518,12519,12520,12521,12522,12523,12524,12525,12526,12878,12879,12880,12881,12882,12883,12884,12885,12886,13238,13239,13240,13241,13242,13243,13244,13245,13246",0,0,0,49457.2,37092.9,0,136007.3,0,0,0,0,0,778950.9,0,0,0,0,309107.5,0,0,395657.6,0,0,136007.3,0,86550.1,0,61821.5,0,12364.3,0,0,383,169,109,104,299,50,336,36,11,38,108,237,233,1,46,12,66,25,0,0,0,250,138,0,207,0,0,0,0,0,350,0,0,0,0,298,0,0,304,0,0,235,0,225,0,146,0,106,0,0,0.302416371604938,99.3683765432099,12.9833052345679,100,3.07174765308642,0.0355420677641975,0.0734171871604938,0.0134888330506173,0.0214906793703704,6.80595061728395e-06,0.00802261444172839,"Medium","Medium","High","Medium","Low","Medium","Low","Medium","Low","Medium"
"8",8,87.5,45.98897,5668,11,121,1496080.3,"3863,3864,3865,3866,3867,3868,3869,3870,3871,3872,3873,4223,4224,4225,4226,4227,4228,4229,4230,4231,4232,4233,4583,4584,4585,4586,4587,4588,4589,4590,4591,4592,4593,4943,4944,4945,4946,4947,4948,4949,4950,4951,4952,4953,5303,5304,5305,5306,5307,5308,5309,5310,5311,5312,5313,5663,5664,5665,5666,5667,5668,5669,5670,5671,5672,5673,6023,6024,6025,6026,6027,6028,6029,6030,6031,6032,6033,6383,6384,6385,6386,6387,6388,6389,6390,6391,6392,6393,6743,6744,6745,6746,6747,6748,6749,6750,6751,6752,6753,7103,7104,7105,7106,7107,7108,7109,7110,7111,7112,7113,7463,7464,7465,7466,7467,7468,7469,7470,7471,7472,7473",0,0,0,816043.8,197828.8,49457.2,197828.8,234921.7,0,0,0,0,0,0,0,0,0,0,0,0,173100.2,0,0,0,0,568757.8,0,86550.1,0,49457.2,0,618215,171,47,40,84,154,12,146,15,10,5,22,144,67,1,22,9,54,17,0,0,0,122,81,125,141,161,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,148,0,91,0,79,0,123,0.0850306710743802,64.271581231405,1.23362559622314,62.0435303305785,1.2747823709438,0.00020039023785124,0.0168785291173554,0.00678592569809917,0.00119231623,0,0.000271801051239669,"Low","Low","Medium","Low","Low","Low","Low","Low",NA,"Low"
"9",9,146.5,-31.33638,31287,1,1,12364.3,"31287",0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,23,15,2,6,22,0,18,5,0,0,0,23,18,0,0,0,0,5,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0.117037,80.9524,10.0494,100,0.00552083,1e-04,0.185244,0.153208,0.000279762,0,0.000107143,"Low","Medium","High","Low","Low","High","High","Low",NA,"Low"
"10",10,139.5,59.19334,2840,3,8,91153.62834,"2479,2480,2481,2839,2840,2841,3199,3200,NA",0,78789.32834,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,6658.61023,0,0,0,0,0,0,84495.01811,0,0,0,0,0,0,0,0,0,42,19,7,16,41,1,34,6,2,0,0,42,13,0,5,1,18,5,0,32,42,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0.0575663375,79.68995,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
