"","id","x","y","HBWID","focal","ncell","area","neighbours","nothing","biome_area_1","biome_area_2","biome_area_3","biome_area_4","biome_area_5","biome_area_6","biome_area_7","biome_area_8","biome_area_9","biome_area_10","biome_area_11","biome_area_12","biome_area_13","biome_area_14","LC_0","LC_1","LC_2","LC_3","LC_4","LC_5","LC_6","LC_7","LC_8","LC_9","LC_10","LC_11","LC_12","LC_13","LC_14","LC_15","LC_16","srTotal","srCarnivore","srOmnivore","srHerbivore","srNonthreatened","srThreatened","lt10kg","lt100kg","gt100kg","rs1","rs2","rs3","nocturnal","crepuscular","diurnal","crep_diurn","noct_crep_diurn","noct_crep","nothing","biome_1","biome_2","biome_3","biome_4","biome_5","biome_6","biome_7","biome_8","biome_9","biome_10","biome_11","biome_12","biome_13","biome_14","LC_sp_0","LC_sp_1","LC_sp_2","LC_sp_3","LC_sp_4","LC_sp_5","LC_sp_6","LC_sp_7","LC_sp_8","LC_sp_9","LC_sp_10","LC_sp_11","LC_sp_12","LC_sp_13","LC_sp_14","LC_sp_15","LC_sp_16","h_mean","h_pc0","fer_mean","fer_pc","irr_area_p","rice_ha","cereal_ha","wheat_ha","maize_ha","oil_p_ha","soy_ha","h_mean_cut","fer_mean_cut","fer_pc_cut","irr_area_p_cut","rice_ha_cut","cereal_ha_cut","wheat_ha_cut","maize_ha_cut","oil_p_ha_cut","soy_ha_cut"
"1",1,69.5,29.49063,10330,13,154,1894027.807,"8164,8165,8166,8167,8168,8169,8170,8171,8172,8173,8174,8175,8176,8524,8525,8526,8527,8528,8529,8530,8531,8532,8533,8534,8535,8536,8884,8885,8886,8887,8888,8889,8890,8891,8892,8893,8894,8895,8896,9244,9245,9246,9247,9248,9249,9250,9251,9252,9253,9254,9255,9256,9604,9605,9606,9607,9608,9609,9610,9611,9612,9613,9614,9615,9616,9964,9965,9966,9967,9968,9969,9970,9971,9972,9973,9974,9975,9976,10324,10325,10326,10327,10328,10329,10330,10331,10332,10333,10334,10335,10336,10684,10685,10686,10687,10688,10689,10690,10691,10692,10693,10694,10695,10696,11044,11045,11046,11047,11048,11049,11050,11051,11052,11053,11054,11055,11056,11404,11405,11406,11407,11408,11409,11410,11411,11412,11413,11414,11415,11416,NA,NA,NA,NA,11768,11769,11770,11771,11772,11773,11774,11775,11776,NA,NA,NA,NA,NA,12129,12130,12131,12132,12133,12134,12135,12136,NA,NA,NA,NA,NA,NA,12490,12491,12492,12493,12494,12495,12496",0,0,0,1448913.007,24728.6,0,185464.5,24728.6,12364.3,0,24728.6,0,0,160735.9,0,17389.80838,0,0,0,0,12364.3,0,531040.88923,0,0,272014.6,0,628467.70939,0,0,24728.6,408021.9,237,101,59,77,205,24,196,32,9,10,43,184,137,1,15,20,32,32,0,0,0,48,105,0,137,207,55,0,101,0,0,85,0,57,0,0,0,0,88,0,166,0,0,145,0,163,0,0,68,151,0.30866891974026,72.551748,17.0049363623377,93.667928961039,14.5679531285714,0.0271970239825974,0.161742239671429,0.0835672839922078,0.0154351157118182,0,0.00762271816727273,"High","Medium","High","High","Low","Medium","Medium","Medium",NA,"Low"
"2",2,-106.5,31.81585,9434,11,117,1436116.69378,"7629,7630,7631,7632,7633,7634,7635,7636,7637,7638,7639,7989,7990,7991,7992,7993,7994,7995,7996,7997,7998,7999,8349,8350,8351,8352,8353,8354,8355,8356,8357,8358,8359,8709,8710,8711,8712,8713,8714,8715,8716,8717,8718,8719,9069,9070,9071,9072,9073,9074,9075,9076,9077,9078,9079,9429,9430,9431,9432,9433,9434,9435,9436,9437,9438,9439,9789,9790,9791,9792,9793,9794,9795,9796,9797,9798,9799,10149,10150,10151,10152,10153,10154,10155,10156,10157,10158,10159,10509,10510,10511,10512,10513,10514,10515,10516,10517,10518,10519,NA,NA,10871,10872,10873,10874,10875,10876,10877,10878,10879,11229,NA,NA,11232,11233,11234,11235,11236,11237,11238,11239",0,0,0,867995.4694,0,136007.3,0,247286,0,0,123643,0,0,61184.92438,0,0,0,0,0,0,0,0,867995.4694,123006.42438,0,445114.8,0,0,0,0,0,0,258,79,96,83,244,10,245,11,2,20,76,162,163,0,33,2,34,26,0,0,0,157,0,129,0,233,0,0,149,0,0,121,0,0,0,0,0,0,0,0,236,140,0,176,0,0,0,0,0,0,0.112069620854701,94.050305982906,3.58207748401709,79.0170948717949,3.40180686367521,1e-04,0.0201731902013675,0.0103196446707692,0.0046560896782906,0,0.000237810838974359,"Medium","Low","High","Medium","Low","Low","Low","Low",NA,"Low"
"3",3,-6.5,26.09861,11334,5,25,309107.5,"10612,10613,10614,10615,10616,10972,10973,10974,10975,10976,11332,11333,11334,11335,11336,11692,11693,11694,11695,11696,12052,12053,12054,12055,12056",0,0,0,0,0,0,0,309107.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309107.5,36,13,17,6,30,5,28,8,0,0,2,34,14,0,5,4,1,12,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,-0.00012,0.0769232,0.00822444,2,0.000281818,1e-04,0,0,0,0,0,"Low","Low","Low","Low","Low",NA,NA,NA,NA,NA
"4",4,60.5,26.09861,11401,11,81,976339.51163,"9596,9597,9598,9599,9600,9601,9602,9603,9604,9605,9606,9956,9957,9958,9959,9960,9961,9962,9963,9964,9965,9966,10316,10317,10318,10319,10320,10321,10322,10323,10324,10325,10326,10676,10677,10678,10679,10680,10681,10682,10683,10684,10685,10686,11036,11037,11038,11039,11040,11041,11042,11043,11044,11045,11046,NA,NA,11398,11399,11400,11401,11402,11403,11404,11405,11406,11756,11757,NA,NA,NA,NA,NA,NA,NA,NA,NA,12116,12117,NA,NA,NA,NA,NA,NA,NA,NA,NA,12476,12477,12478,12479,NA,NA,NA,NA,NA,NA,NA,12836,12837,12838,12839,12840,NA,NA,NA,NA,NA,NA,13196,13197,13198,13199,NA,NA,NA,NA,NA,NA,NA",0,0,0,0,889796.65633,37092.9,24728.6,24721.3553,0,0,0,0,0,0,0,15243.34658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961096.16505,95,42,31,22,83,10,77,17,1,3,12,80,51,0,7,8,10,19,0,0,0,0,44,35,50,95,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0.0509845308641975,31.9813797037037,0.74041646345679,41.2362767901235,1.35293759753086,0.00011308950617284,0.00279576815061728,0.00216462018148148,0.000174591849135802,0,5.59342886419753e-05,"Low","Low","Medium","Low","Low","Low","Low","Low",NA,"Low"
"5",5,120.5,-23.44568,28741,11,102,1245947.80632,"NA,NA,NA,NA,NA,NA,NA,26943,26944,26945,26946,NA,NA,NA,NA,NA,NA,NA,27303,27304,27305,27306,NA,NA,NA,NA,27660,27661,27662,27663,27664,27665,27666,NA,28017,28018,28019,28020,28021,28022,28023,28024,28025,28026,28376,28377,28378,28379,28380,28381,28382,28383,28384,28385,28386,28736,28737,28738,28739,28740,28741,28742,28743,28744,28745,28746,29096,29097,29098,29099,29100,29101,29102,29103,29104,29105,29106,29456,29457,29458,29459,29460,29461,29462,29463,29464,29465,29466,29816,29817,29818,29819,29820,29821,29822,29823,29824,29825,29826,30176,30177,30178,30179,30180,30181,30182,30183,30184,30185,30186,30536,30537,30538,30539,30540,30541,30542,30543,30544,30545,30546",0,0,0,0,0,0,0,1138228.28599,0,49390.5487,0,58328.97163,0,0,0,0,0,0,0,0,0,0,1221285.85762,0,0,12364.3,0,12297.6487,0,0,0,0,88,53,15,20,81,4,83,5,0,0,28,60,73,0,0,0,5,10,0,0,0,0,0,0,0,69,0,28,0,55,0,0,0,0,0,0,0,0,0,0,86,0,0,43,0,21,0,0,0,0,0.0506834816470588,57.4856376470588,0.225077923333333,66.4939756862745,0.000181963333333333,1e-04,0.00335250174294118,0.00292431388235294,1.75967803921569e-06,0,0,"Low","Low","Medium","Low","Low","Low","Low","Low",NA,NA
"6",6,106.5,22.80239,12527,1,1,12364.3,"12527",0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,146,70,46,30,124,18,132,12,2,2,17,127,101,1,16,4,14,10,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0.423198,100,20.9985,100,3.34364,0.0555064,0.116891,0.00214103,0.0583141,0,0.0208013,"High","Medium","High","Medium","Medium","Medium","Low","High",NA,"Medium"
"7",7,-2.5,47.448,5218,9,43,478156.83701,"3774,NA,NA,NA,3778,3779,3780,NA,NA,NA,NA,NA,4137,4138,4139,4140,4141,NA,NA,NA,NA,4497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4859,4860,4861,4862,NA,NA,NA,NA,5218,5219,5220,5221,5222,NA,NA,NA,NA,NA,NA,5580,5581,5582,NA,NA,NA,NA,NA,NA,5940,5941,5942,6294,6295,6296,6297,6298,6299,6300,6301,6302,6654,6655,6656,6657,6658,6659,6660,6661,6662",0,0,0,0,111278.7,0,0,0,0,366878.13701,0,0,0,0,0,29516.03121,0,0,0,0,27275.25941,0,0,24490.32964,0,47083.282,0,312699.03475,0,37092.9,0,0,88,51,15,22,80,7,79,7,2,3,10,75,48,0,2,3,23,11,0,0,0,0,86,0,0,0,0,81,0,0,0,0,0,77,0,0,0,0,76,0,0,75,0,39,0,85,0,76,0,0,0.506926720930232,99.7865488372093,38.1567813953488,99.5560255813953,5.47093701627907,0.000516715046511628,0.170211509767442,0.0821536018604651,0.0239195437209302,0,0.00117692845581395,"High","High","High","Medium","Low","Medium","Medium","Medium",NA,"Low"
"8",8,-56.5,-12.90513,24964,13,169,2089566.7,"22798,22799,22800,22801,22802,22803,22804,22805,22806,22807,22808,22809,22810,23158,23159,23160,23161,23162,23163,23164,23165,23166,23167,23168,23169,23170,23518,23519,23520,23521,23522,23523,23524,23525,23526,23527,23528,23529,23530,23878,23879,23880,23881,23882,23883,23884,23885,23886,23887,23888,23889,23890,24238,24239,24240,24241,24242,24243,24244,24245,24246,24247,24248,24249,24250,24598,24599,24600,24601,24602,24603,24604,24605,24606,24607,24608,24609,24610,24958,24959,24960,24961,24962,24963,24964,24965,24966,24967,24968,24969,24970,25318,25319,25320,25321,25322,25323,25324,25325,25326,25327,25328,25329,25330,25678,25679,25680,25681,25682,25683,25684,25685,25686,25687,25688,25689,25690,26038,26039,26040,26041,26042,26043,26044,26045,26046,26047,26048,26049,26050,26398,26399,26400,26401,26402,26403,26404,26405,26406,26407,26408,26409,26410,26758,26759,26760,26761,26762,26763,26764,26765,26766,26767,26768,26769,26770,27118,27119,27120,27121,27122,27123,27124,27125,27126,27127,27128,27129,27130",0,0,0,0,0,0,0,0,136007.3,0,0,284378.9,655307.9,1013872.6,0,0,0,939686.8,0,49457.2,0,0,0,160735.9,840772.4,24728.6,24728.6,37092.9,0,12364.3,0,0,341,98,143,96,293,16,321,15,2,10,46,282,212,2,60,9,33,22,0,0,0,0,0,0,0,0,172,0,0,233,272,248,0,0,0,281,0,180,0,0,0,200,286,136,149,154,0,137,0,0,0.125628365088757,88.690625443787,0.789268251414201,84.6564749112426,0.0386884626213018,0.00272391397183432,0.01037189672,0.000314911738816568,0.00592377866106509,1.51721893491124e-07,0.0209979692495858,"Medium","Low","High","Low","Low","Low","Low","Low","Low","Medium"
"9",9,113.5,39.19213,7494,7,49,605850.7,"6411,6412,6413,6414,6415,6416,6417,6771,6772,6773,6774,6775,6776,6777,7131,7132,7133,7134,7135,7136,7137,7491,7492,7493,7494,7495,7496,7497,7851,7852,7853,7854,7855,7856,7857,8211,8212,8213,8214,8215,8216,8217,8571,8572,8573,8574,8575,8576,8577",0,0,0,0,61821.5,24728.6,333836.1,185464.5,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,333836.1,0,259650.3,0,0,0,0,127,42,30,55,115,7,109,12,6,1,14,112,63,1,16,9,25,13,0,0,0,0,97,91,63,60,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,114,0,92,0,0,0,0,0.405352757142857,98.674193877551,44.1725787755102,99.2578857142857,14.6906770097959,0.00296740212163265,0.206990326367347,0.0962591855714286,0.0794185302167347,0,0.0215026452081633,"High","High","High","High","Low","Medium","Medium","High",NA,"Medium"
"10",10,84.5,50.49615,4585,13,169,2089566.7,"2419,2420,2421,2422,2423,2424,2425,2426,2427,2428,2429,2430,2431,2779,2780,2781,2782,2783,2784,2785,2786,2787,2788,2789,2790,2791,3139,3140,3141,3142,3143,3144,3145,3146,3147,3148,3149,3150,3151,3499,3500,3501,3502,3503,3504,3505,3506,3507,3508,3509,3510,3511,3859,3860,3861,3862,3863,3864,3865,3866,3867,3868,3869,3870,3871,4219,4220,4221,4222,4223,4224,4225,4226,4227,4228,4229,4230,4231,4579,4580,4581,4582,4583,4584,4585,4586,4587,4588,4589,4590,4591,4939,4940,4941,4942,4943,4944,4945,4946,4947,4948,4949,4950,4951,5299,5300,5301,5302,5303,5304,5305,5306,5307,5308,5309,5310,5311,5659,5660,5661,5662,5663,5664,5665,5666,5667,5668,5669,5670,5671,6019,6020,6021,6022,6023,6024,6025,6026,6027,6028,6029,6030,6031,6379,6380,6381,6382,6383,6384,6385,6386,6387,6388,6389,6390,6391,6739,6740,6741,6742,6743,6744,6745,6746,6747,6748,6749,6750,6751",0,0,457479.1,531664.9,272014.6,74185.8,197828.8,556393.5,0,0,0,0,0,0,0,0,49457.2,0,0,0,593486.4,0,0,0,0,816043.8,49457.2,173100.2,0,136007.3,0,272014.6,167,52,40,75,151,10,146,13,8,4,25,138,73,1,21,7,47,17,0,0,62,121,66,143,143,153,0,0,0,0,0,0,0,0,43,0,0,0,100,0,0,0,0,157,40,89,0,82,0,104,0.13060343964497,88.0468572189349,1.38399821308284,75.6946876331361,1.33074476180592,0.000227284964911243,0.0255021007656805,0.00979818484899408,0.0014534178443787,0,0.000306177910650888,"Medium","Low","High","Low","Low","Low","Low","Low",NA,"Low"
