"","id","x","y","HBWID","focal","ncell","area","neighbours","nothing","biome_area_1","biome_area_2","biome_area_3","biome_area_4","biome_area_5","biome_area_6","biome_area_7","biome_area_8","biome_area_9","biome_area_10","biome_area_11","biome_area_12","biome_area_13","biome_area_14","LC_0","LC_1","LC_2","LC_3","LC_4","LC_5","LC_6","LC_7","LC_8","LC_9","LC_10","LC_11","LC_12","LC_13","LC_14","LC_15","LC_16","srTotal","srCarnivore","srOmnivore","srHerbivore","srNonthreatened","srThreatened","lt10kg","lt100kg","gt100kg","rs1","rs2","rs3","nocturnal","crepuscular","diurnal","crep_diurn","noct_crep_diurn","noct_crep","nothing","biome_1","biome_2","biome_3","biome_4","biome_5","biome_6","biome_7","biome_8","biome_9","biome_10","biome_11","biome_12","biome_13","biome_14","LC_sp_0","LC_sp_1","LC_sp_2","LC_sp_3","LC_sp_4","LC_sp_5","LC_sp_6","LC_sp_7","LC_sp_8","LC_sp_9","LC_sp_10","LC_sp_11","LC_sp_12","LC_sp_13","LC_sp_14","LC_sp_15","LC_sp_16","h_mean","h_pc0","fer_mean","fer_pc","irr_area_p","rice_ha","cereal_ha","wheat_ha","maize_ha","oil_p_ha","soy_ha","h_mean_cut","fer_mean_cut","fer_pc_cut","irr_area_p_cut","rice_ha_cut","cereal_ha_cut","wheat_ha_cut","maize_ha_cut","oil_p_ha_cut","soy_ha_cut"
"1",1,-134.5,57.29166,2926,3,5,50579.16363,"2565,2566,2567,NA,2926,2927,NA,NA,NA",0,24103.38179,15404.66205,11071.11979,0,0,0,0,0,0,0,0,0,0,0,7517.591,7887.07105,0,0,0,0,0,0,12316.48494,0,0,0,0,0,0,22858.01664,0,52,18,11,23,51,1,39,11,2,0,1,51,17,0,6,3,16,10,0,50,50,41,0,0,0,0,0,0,0,0,0,0,0,38,41,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0.0733037,76.79292,0,0,4.6431e-05,1e-04,0,0,0,0,0,"Low",NA,NA,"Low","Low",NA,NA,NA,NA,NA
"2",2,46.5,10.25936,16787,7,31,362707.70648,"15704,15705,15706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16784,16785,16786,16787,16788,16789,16790,17144,17145,17146,17147,17148,17149,17150,17504,17505,17506,17507,17508,17509,17510,17864,17865,17866,17867,17868,17869,17870",0,0,0,0,0,0,0,69392.70183,0,0,0,293315.00465,0,0,0,8995.02825,0,0,0,0,0,0,192670.56859,0,0,0,0,0,0,0,0,161042.10964,139,56,45,36,124,9,107,27,5,5,26,108,72,0,16,8,15,28,0,0,0,0,0,0,0,114,0,0,0,99,0,0,0,34,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,107,0.187929,74.1835483870968,0.0592328064516129,11.9727032258065,0.230024806451613,1e-04,0.00305458836322581,0.000397849496774194,0.00035711315483871,0,0,"Medium","Low","Low","Low","Low","Low","Low","Low",NA,NA
"3",3,-64.5,45.98897,5516,11,55,599337.22539,"3711,3712,3713,3714,3715,3716,3717,3718,3719,3720,3721,4071,4072,4073,4074,4075,4076,4077,4078,4079,4080,4081,4431,4432,4433,4434,4435,4436,4437,4438,4439,4440,4441,4791,4792,4793,NA,4795,NA,NA,NA,NA,NA,NA,5151,5152,5153,5154,5155,NA,NA,NA,NA,NA,NA,5511,5512,5513,5514,5515,5516,5517,NA,NA,5520,NA,5871,5872,5873,NA,5875,5876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA",0,0,415586.66207,0,183750.56332,0,0,0,0,0,0,0,0,0,0,20673.174,249347.36064,0,0,0,205673.69075,0,12364.3,111278.7,0,0,0,0,0,0,0,0,65,29,18,18,62,3,56,7,2,1,3,61,30,0,6,1,16,12,0,0,50,0,59,0,0,0,0,0,0,0,0,0,0,56,44,0,0,0,60,0,33,36,0,0,0,0,0,0,0,0,0.0771211582727273,56.2235592,0.359809769636364,35.3333327272727,0.0259965947090909,1e-04,0.00158008593018182,0.000138680915090909,4.7860904e-05,0,1.14923756363636e-05,"Low","Low","Medium","Low","Low","Low","Low","Low",NA,"Low"
"4",4,-5.5,10.25936,16735,1,1,12364.3,"16735",0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,110,50,29,30,105,2,87,17,6,0,5,105,75,0,10,7,11,7,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0.225388,100,0.39525,100,0.31385,0.00416667,0.0342628,0,0.0138974,0.000410256,0,"Medium","Low","High","Low","Low","Low",NA,"Medium","Low",NA
"5",5,-66.5,-31.33638,31074,11,114,1391730.53441,"NA,NA,29271,29272,29273,29274,29275,29276,29277,29278,29279,NA,29630,29631,29632,29633,29634,29635,29636,29637,29638,29639,NA,29990,29991,29992,29993,29994,29995,29996,29997,29998,29999,NA,30350,30351,30352,30353,30354,30355,30356,30357,30358,30359,NA,30710,30711,30712,30713,30714,30715,30716,30717,30718,30719,31069,31070,31071,31072,31073,31074,31075,31076,31077,31078,31079,NA,31430,31431,31432,31433,31434,31435,31436,31437,31438,31439,31789,31790,31791,31792,31793,31794,31795,31796,31797,31798,31799,32149,32150,32151,32152,32153,32154,32155,32156,32157,32158,32159,32509,32510,32511,32512,32513,32514,32515,32516,32517,32518,32519,32869,32870,32871,32872,32873,32874,32875,32876,32877,32878,32879",0,0,0,0,105843.33441,222557.4,61821.5,0,0,593486.4,0,197828.8,185464.5,24728.6,0,0,0,0,0,148371.6,12364.3,0,599675.11853,0,0,179888.2007,0,259650.3,0,0,0,191781.01518,219,62,59,97,162,23,198,18,2,50,66,102,99,5,19,28,48,19,0,0,0,0,54,128,117,0,0,45,0,112,106,128,0,0,0,0,0,136,39,0,155,0,0,115,0,77,0,0,0,77,0.185425354385965,91.4555484210526,2.34001856503509,90.9990263157895,1.57629214125439,0.000180615121754386,0.0457921414289474,0.025617488265614,0.0140202168405263,0,0.0434583294726316,"Medium","Low","High","Low","Low","Low","Low","Medium",NA,"Medium"
"6",6,-98.5,50.49615,4402,9,81,1001467.72964,"2958,2959,2960,2961,2962,2963,2964,2965,2966,3318,3319,3320,3321,3322,3323,3324,3325,3326,3678,3679,3680,3681,3682,3683,3684,3685,3686,4038,4039,4040,4041,4042,4043,4044,4045,4046,4398,4399,4400,4401,4402,4403,4404,4405,4406,4758,4759,4760,4761,4762,4763,4764,4765,4766,5118,5119,5120,5121,5122,5123,5124,5125,5126,5478,5479,5480,5481,5482,5483,5484,5485,5486,5838,5839,5840,5841,5842,5843,5844,5845,5846",0,0,395617.02964,0,74185.8,494572,0,0,0,0,0,0,0,0,0,74185.8,234921.7,0,0,0,111278.7,0,61780.92964,24728.6,0,98914.4,0,370929,0,24728.6,0,0,104,39,30,35,103,1,90,11,3,0,3,101,46,0,13,1,25,19,0,0,66,0,67,97,0,0,0,0,0,0,0,0,0,54,52,0,0,0,67,0,41,40,0,74,0,83,0,64,0,0,0.326408469765432,75.8259810493827,16.7424098258025,73.8410419753086,0.380677720740741,1e-04,0.124569880530494,0.0750572743376543,0.0253666045395062,0,0.0350157627938272,"Medium","Medium","Medium","Low","Low","Medium","Medium","Medium",NA,"Medium"
"7",7,27.5,59.19334,2728,1,1,6549.69814,"2728",0,0,0,0,6549.69814,0,0,0,0,0,0,0,0,0,0,6549.69814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,12,14,50,1,42,6,3,0,0,51,23,0,3,1,15,8,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3365,100,2.9228,100,0.00760256,1e-04,0.0157862,0.00327174,1.44928e-05,0,3.62319e-06,"Medium","Low","High","Low","Low","Low","Low","Low",NA,"Low"
"8",8,81.5,57.29166,3142,1,1,12364.3,"3142",0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,48,23,12,13,48,0,39,7,2,0,0,48,16,0,4,2,18,7,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0.0725045,96.9697,0.1616,100,0,1e-04,0.003875,0.00214015,4.54545e-05,0,2.65152e-05,"Low","Low","High",NA,"Low","Low","Low","Low",NA,"Low"
"9",9,104.5,65.69124,1725,7,49,602802.35514,"642,643,644,645,646,647,648,1002,1003,1004,1005,1006,1007,1008,1362,1363,1364,1365,1366,1367,1368,1722,1723,1724,1725,1726,1727,1728,2082,2083,2084,2085,2086,2087,2088,2442,2443,2444,2445,2446,2447,2448,2802,2803,2804,2805,2806,2807,2808",0,432750.5,170051.85514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185464.5,0,74185.8,0,343152.05514,0,0,0,0,0,0,0,0,0,50,20,12,18,48,2,39,7,4,0,0,50,14,0,6,3,20,6,0,27,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,45,0,31,0,0,0,0,0,0,0,0,0,0.0391918874693878,57.4365628571429,8.97959183673469e-05,0.272108163265306,0,2.21828571428571e-07,3.84502040816327e-06,2.44010204081633e-06,7.39426530612245e-08,0,0,"Low","Low","Low",NA,NA,"Low","Low","Low",NA,NA
"10",10,-85.5,53.75572,3695,9,49,588799.46552,"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3331,3332,3333,3334,3335,NA,NA,NA,NA,3691,3692,3693,3694,3695,3696,3697,3698,NA,4051,4052,4053,4054,4055,4056,4057,4058,4059,4411,4412,4413,4414,4415,4416,4417,4418,4419,4771,4772,4773,4774,4775,4776,4777,4778,4779,5131,5132,5133,5134,5135,5136,5137,5138,5139",0,0,477520.76552,0,49457.2,0,0,0,0,0,0,0,0,0,0,68151.856,185464.5,0,0,0,160735.9,0,0,0,0,0,174447.20952,0,0,0,0,0,63,27,17,19,62,1,53,7,3,0,0,63,25,0,9,1,15,13,0,0,54,0,56,0,0,0,0,0,0,0,0,0,0,60,48,0,0,0,57,0,0,0,0,0,44,0,0,0,0,0,0.0485929744081633,48.4132955306122,0.00902333397826087,65.0050152173913,0.000342818091836735,1e-04,3.56858608163265e-05,6.61374693877551e-07,0,0,9.44822448979592e-08,"Low","Low","Medium","Low","Low","Low","Low",NA,NA,"Low"
