"","id","x","y","HBWID","focal","ncell","area","neighbours","nothing","biome_area_1","biome_area_2","biome_area_3","biome_area_4","biome_area_5","biome_area_6","biome_area_7","biome_area_8","biome_area_9","biome_area_10","biome_area_11","biome_area_12","biome_area_13","biome_area_14","LC_0","LC_1","LC_2","LC_3","LC_4","LC_5","LC_6","LC_7","LC_8","LC_9","LC_10","LC_11","LC_12","LC_13","LC_14","LC_15","LC_16","srTotal","srCarnivore","srOmnivore","srHerbivore","srNonthreatened","srThreatened","lt10kg","lt100kg","gt100kg","rs1","rs2","rs3","nocturnal","crepuscular","diurnal","crep_diurn","noct_crep_diurn","noct_crep","nothing","biome_1","biome_2","biome_3","biome_4","biome_5","biome_6","biome_7","biome_8","biome_9","biome_10","biome_11","biome_12","biome_13","biome_14","LC_sp_0","LC_sp_1","LC_sp_2","LC_sp_3","LC_sp_4","LC_sp_5","LC_sp_6","LC_sp_7","LC_sp_8","LC_sp_9","LC_sp_10","LC_sp_11","LC_sp_12","LC_sp_13","LC_sp_14","LC_sp_15","LC_sp_16","h_mean","h_pc0","fer_mean","fer_pc","irr_area_p","rice_ha","cereal_ha","wheat_ha","maize_ha","oil_p_ha","soy_ha","h_mean_cut","fer_mean_cut","fer_pc_cut","irr_area_p_cut","rice_ha_cut","cereal_ha_cut","wheat_ha_cut","maize_ha_cut","oil_p_ha_cut","soy_ha_cut"
"1",1,85.5,50.49615,4586,9,81,1001508.3,"3142,3143,3144,3145,3146,3147,3148,3149,3150,3502,3503,3504,3505,3506,3507,3508,3509,3510,3862,3863,3864,3865,3866,3867,3868,3869,3870,4222,4223,4224,4225,4226,4227,4228,4229,4230,4582,4583,4584,4585,4586,4587,4588,4589,4590,4942,4943,4944,4945,4946,4947,4948,4949,4950,5302,5303,5304,5305,5306,5307,5308,5309,5310,5662,5663,5664,5665,5666,5667,5668,5669,5670,6022,6023,6024,6025,6026,6027,6028,6029,6030",0,0,86550.1,222557.4,111278.7,74185.8,173100.2,333836.1,0,0,0,0,0,0,0,0,0,0,0,0,321471.8,0,0,0,0,420386.2,0,98914.4,0,86550.1,0,74185.8,147,47,36,64,134,8,130,12,5,3,18,126,62,1,18,7,42,16,0,0,55,119,66,128,130,123,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,141,0,85,0,74,0,82,0.156875902469136,96.6370938271605,1.61673471581481,80.2697080246914,1.46252703617284,0.000163001275308642,0.0323733995061728,0.0115615155141975,0.00127823101777778,0,0.000356905102592593,"Low","Low","High","Low","Low","Low","Low","Low",NA,"Low"
"2",2,-97.5,19.58417,13403,1,1,12364.3,"13403",0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,165,66,57,42,149,12,159,6,0,15,41,109,116,0,11,4,20,14,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0.280552,99.359,24.6861,100,2.10779,0.000134615,0.211891,0.00735256,0.190641,0,0,"Medium","Medium","High","Low","Low","Medium","Low","High",NA,NA
"3",3,-38.5,-11.88122,24622,5,18,211858.72865,"23900,23901,23902,23903,23904,24260,24261,24262,24263,NA,24620,24621,24622,24623,NA,24980,24981,24982,NA,NA,25340,25341,NA,NA,NA",0,0,0,0,0,0,0,160390.24394,0,0,0,0,12364.3,39104.18471,0,14384.81905,0,12355.06566,0,0,0,0,0,0,172754.54394,0,0,0,0,12364.3,0,0,180,69,69,40,154,15,170,8,1,4,21,154,128,3,20,3,15,10,0,0,0,0,0,0,0,177,0,0,0,0,158,139,0,140,0,143,0,0,0,0,0,0,175,0,0,0,0,144,0,0,0.224964055555556,99.8826277777778,2.55695722222222,100,0.715013422222222,0.00141936751111111,0.0140857422222222,0.000120251666666667,0.0123769913888889,0.00104383352777778,0,"Medium","Low","High","Low","Low","Low","Low","Low","Medium",NA
"4",4,84.5,65.69124,1705,9,65,783370.04744,"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628,629,981,982,983,984,985,986,987,988,989,1341,1342,1343,1344,1345,1346,1347,1348,1349,1701,1702,1703,1704,1705,1706,1707,1708,1709,2061,2062,2063,2064,2065,2066,2067,2068,2069,2421,2422,2423,2424,2425,2426,2427,2428,2429,2781,2782,2783,2784,2785,2786,2787,2788,2789,3141,3142,3143,3144,3145,3146,3147,3148,3149",0,544029.2,24728.6,0,214612.24744,0,0,0,0,0,0,0,0,0,0,0,37092.9,0,0,0,272014.6,0,313526.64744,136007.3,0,0,24728.6,0,0,0,0,0,63,26,15,22,61,2,52,8,3,0,3,60,20,1,7,3,24,7,0,33,61,0,48,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,58,0,36,40,0,0,38,0,0,0,0,0,0.0521752377476923,65.9568714769231,0.0727193044615385,24.4524904615385,0.00468937447692308,1.32441523076923e-06,0.00193245697538462,0.00106223391230769,2.77338612307692e-05,0,1.57342630769231e-05,"Low","Low","Low","Low",NA,"Low","Low","Low",NA,"Low"
"5",5,-62.5,-4.80158,22078,7,49,605850.7,"20995,20996,20997,20998,20999,21000,21001,21355,21356,21357,21358,21359,21360,21361,21715,21716,21717,21718,21719,21720,21721,22075,22076,22077,22078,22079,22080,22081,22435,22436,22437,22438,22439,22440,22441,22795,22796,22797,22798,22799,22800,22801,23155,23156,23157,23158,23159,23160,23161",0,0,0,0,0,0,0,0,0,0,0,0,605850.7,0,0,0,0,605850.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,76,118,74,229,18,254,13,1,11,33,224,169,0,64,4,19,12,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632638795918367,89.1653551020408,0.0421763059183673,64.1723346938775,0.00256836734693878,0.000178418712653061,0.000278148527346939,0,9.34830265306122e-05,1.41723265306122e-07,2.04735775510204e-05,"Low","Low","Medium","Low","Low","Low",NA,"Low","Low","Low"
"6",6,10.5,14.35449,15311,3,9,111278.7,"14950,14951,14952,15310,15311,15312,15670,15671,15672",0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,24728.6,0,0,0,49457.2,0,37092.9,84,33,33,18,77,5,63,20,1,1,3,80,50,0,8,5,6,15,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,77,0,53,0.269669777777778,99.9228444444445,0.317569388888889,76.3888888888889,0.227694444444444,0.00185571222222222,0.130548377777778,0.000121913622222222,0.00467129333333333,0,1.85185333333333e-05,"Medium","Low","High","Low","Low","Medium","Low","Low",NA,"Low"
"7",7,46.5,35.41933,8507,1,1,12364.3,"8507",0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,57,28,16,13,49,6,46,10,1,0,5,52,33,0,3,3,11,7,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0.361228,100,18.3113,100,3.10965,1e-04,0.177772,0.155306,0.00298889,0,0.00103333,"Medium","Medium","High","Low","Low","Medium","High","Low",NA,"Low"
"8",8,74.5,41.82327,6735,9,81,1001508.3,"5291,5292,5293,5294,5295,5296,5297,5298,5299,5651,5652,5653,5654,5655,5656,5657,5658,5659,6011,6012,6013,6014,6015,6016,6017,6018,6019,6371,6372,6373,6374,6375,6376,6377,6378,6379,6731,6732,6733,6734,6735,6736,6737,6738,6739,7091,7092,7093,7094,7095,7096,7097,7098,7099,7451,7452,7453,7454,7455,7456,7457,7458,7459,7811,7812,7813,7814,7815,7816,7817,7818,7819,8171,8172,8173,8174,8175,8176,8177,8178,8179",0,0,0,0,0,506936.3,259650.3,210193.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704765.1,0,0,0,0,37092.9,259650.3,172,58,39,75,154,12,147,19,6,7,32,133,85,2,20,13,36,16,0,0,0,0,0,116,119,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,86,113,0.0831798969506173,82.9670710617284,2.20803361320988,81.7059506172839,3.26561609012346,0.000477266749382716,0.0161504491395062,0.0105112719723457,0.00234776232271605,0,1.07167395061728e-06,"Low","Low","High","Low","Low","Low","Low","Low",NA,"Low"
"9",9,-52.5,68.25572,1208,7,29,320664.84763,"125,126,127,128,129,130,131,485,486,487,488,489,490,491,NA,846,847,848,849,850,851,NA,NA,NA,1208,NA,1210,1211,NA,NA,NA,1568,1569,1570,1571,NA,NA,NA,NA,NA,1930,1931,NA,NA,NA,NA,NA,NA,NA",0,89517.42608,0,0,0,0,0,0,0,0,0,0,0,0,0,28656.82806,0,0,0,0,0,0,7261.90114,0,0,47818.72031,0,0,0,0,236927.39812,0,8,3,2,3,7,1,4,2,2,0,0,8,3,0,2,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,7,0,0,0,0,8,0,NA,NA,NA,NA,0,1e-04,0,0,0,0,0,NA,NA,NA,NA,"Low",NA,NA,NA,NA,NA
"10",10,-57.5,-5.80593,22443,5,25,309107.5,"21721,21722,21723,21724,21725,22081,22082,22083,22084,22085,22441,22442,22443,22444,22445,22801,22802,22803,22804,22805,23161,23162,23163,23164,23165",0,0,0,0,0,0,0,0,0,0,0,0,309107.5,0,0,0,0,309107.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,74,87,55,186,13,203,11,1,7,16,192,145,0,41,2,17,10,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08346428,93.275648,0.07301332996,52.1111104,0.000339,0.00069803428,0.0010386750568,0,0.0003190599328,2.777776e-07,5.0000128e-06,"Low","Low","Medium","Low","Low","Low",NA,"Low","Low","Low"
