"","id","x","y","HBWID","focal","ncell","area","neighbours","nothing","biome_area_1","biome_area_2","biome_area_3","biome_area_4","biome_area_5","biome_area_6","biome_area_7","biome_area_8","biome_area_9","biome_area_10","biome_area_11","biome_area_12","biome_area_13","biome_area_14","LC_0","LC_1","LC_2","LC_3","LC_4","LC_5","LC_6","LC_7","LC_8","LC_9","LC_10","LC_11","LC_12","LC_13","LC_14","LC_15","LC_16","srTotal","srCarnivore","srOmnivore","srHerbivore","srNonthreatened","srThreatened","lt10kg","lt100kg","gt100kg","rs1","rs2","rs3","nocturnal","crepuscular","diurnal","crep_diurn","noct_crep_diurn","noct_crep","nothing","biome_1","biome_2","biome_3","biome_4","biome_5","biome_6","biome_7","biome_8","biome_9","biome_10","biome_11","biome_12","biome_13","biome_14","LC_sp_0","LC_sp_1","LC_sp_2","LC_sp_3","LC_sp_4","LC_sp_5","LC_sp_6","LC_sp_7","LC_sp_8","LC_sp_9","LC_sp_10","LC_sp_11","LC_sp_12","LC_sp_13","LC_sp_14","LC_sp_15","LC_sp_16","h_mean","h_pc0","fer_mean","fer_pc","irr_area_p","rice_ha","cereal_ha","wheat_ha","maize_ha","oil_p_ha","soy_ha","h_mean_cut","fer_mean_cut","fer_pc_cut","irr_area_p_cut","rice_ha_cut","cereal_ha_cut","wheat_ha_cut","maize_ha_cut","oil_p_ha_cut","soy_ha_cut"
"1",1,48.5,-21.28275,27949,1,1,6640.01548,"27949",0,0,0,0,0,0,0,0,0,0,0,0,6640.01548,0,0,6640.01548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,2,1,12,1,13,0,0,0,11,2,8,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299631,100,0.233,100,0.583727,0.0120972,0.0122431,0,4.86111e-05,0,0,"Medium","Low","High","Low","Low","Low",NA,"Low",NA,NA
"2",2,-112.5,52.09608,4028,3,9,111278.7,"3667,3668,3669,4027,4028,4029,4387,4388,4389",0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,98914.4,0,0,0,0,74,27,21,26,73,1,63,8,3,0,1,73,32,0,11,1,15,15,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,71,0,0,0,0,0.534539,100,26.0385444444444,100,3.40526987777778,1e-04,0.253618666666667,0.1354884,4.53216666666667e-05,0,0,"High","Medium","High","Low","Low","Medium","High","Low",NA,NA
"3",3,15.5,18.52613,13876,5,25,309107.5,"13154,13155,13156,13157,13158,13514,13515,13516,13517,13518,13874,13875,13876,13877,13878,14234,14235,14236,14237,14238,14594,14595,14596,14597,14598",0,0,0,0,0,0,0,309107.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309107.5,40,14,16,10,33,6,30,10,0,1,2,37,18,0,5,5,0,12,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.00032305108,3.9230788,0,0,0.0004819048,1e-04,0,0,0,0,0,"Low",NA,NA,"Low","Low",NA,NA,NA,NA,NA
"4",4,47.5,-21.28275,27948,1,1,12364.3,"27948",0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,38,16,13,53,10,65,0,0,14,49,2,31,2,7,3,17,5,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219217,100,0.058,100,0.718,0.0162083,0.0173125,0,0.0009375,0,0,"Medium","Low","High","Low","Low","Low",NA,"Low",NA,NA
"5",5,-8.5,43.17993,6292,5,9,92601.58769,"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6292,6293,6294,NA,NA,6652,6653,6654,NA,NA,7012,7013,7014",0,0,0,0,57478.86162,0,0,0,0,35122.72607,0,0,0,0,0,6807.7063,0,0,0,0,19519.75224,0,0,66274.12915,0,0,0,0,0,0,0,0,73,43,12,18,68,5,65,6,2,3,8,62,39,0,2,3,20,9,0,0,0,0,68,0,0,0,0,66,0,0,0,0,0,47,0,0,0,0,66,0,0,66,0,0,0,0,0,0,0,0,0.306844444444444,99.702,6.84113444444444,100,5.10933888888889,0.000601852222222222,0.0361258911111111,0.00763524333333333,0.0121749344444444,0,7.52314444444444e-06,"Medium","Low","High","Low","Low","Low","Low","Low",NA,"Low"
"6",6,79.5,21.72177,12860,3,9,111278.7,"12499,12500,12501,12859,12860,12861,13219,13220,13221",0,0,0,0,0,0,0,0,0,0,0,0,49457.2,61821.5,0,0,0,0,0,0,0,0,0,37092.9,0,0,0,74185.8,0,0,0,0,86,43,23,20,76,10,65,16,5,2,4,80,47,1,9,6,7,16,0,0,0,0,0,0,0,0,0,0,0,0,84,83,0,0,0,0,0,0,0,0,0,75,0,0,0,85,0,0,0,0,0.665272222222222,100,12.6997333333333,100,12.8194333333333,0.11927955,0.226239555555556,0.0644290666666667,0.0146531314444444,0,0.0852537544444444,"High","Low","High","Medium","Medium","Medium","Medium","Low",NA,"Medium"
"7",7,119.5,53.75572,3900,5,25,309107.5,"3178,3179,3180,3181,3182,3538,3539,3540,3541,3542,3898,3899,3900,3901,3902,4258,4259,4260,4261,4262,4618,4619,4620,4621,4622",0,197828.8,49457.2,49457.2,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,74185.8,0,111278.7,0,74185.8,0,0,37092.9,0,0,0,12364.3,0,0,81,31,14,36,78,3,67,11,3,0,0,81,30,0,11,4,27,9,0,42,66,64,0,70,0,0,0,0,0,0,0,0,0,0,0,0,53,0,70,0,45,0,0,69,0,0,0,57,0,0,0.070767192,66.922156,0.7210592876,42.615384,0.0175482,1e-04,0.01050835988,0.007153442236,0.0001203508956,0,7.41771148e-05,"Low","Low","Medium","Low","Low","Low","Low","Low",NA,"Low"
"8",8,6.5,9.24464,17107,3,9,111278.7,"16746,16747,16748,17106,17107,17108,17466,17467,17468",0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,24728.6,0,0,0,0,0,86550.1,0,0,152,74,42,35,142,3,126,21,5,1,8,143,109,0,12,8,15,8,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,140,0,0,0.427240111111111,100,0.951805555555556,100,0.377946444444444,0.0157237011111111,0.117037711111111,8.48764888888889e-06,0.0367634111111111,0.00172145111111111,0.00817854111111111,"High","Low","High","Low","Low","Medium","Low","Medium","Medium","Low"
"9",9,-110.5,50.49615,4390,1,1,12364.3,"4390",0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,49,20,13,16,48,1,41,6,2,0,0,49,25,0,4,1,7,12,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0.479181,100,9.05133,100,2.28261,1e-04,0.118355,0.090693,0,0,0,"High","Low","High","Low","Low","Medium","High",NA,NA,NA
"10",10,-64.5,-5.80593,22436,1,1,12364.3,"22436",0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,70,69,43,160,9,169,12,1,1,8,173,132,0,23,3,16,8,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396111,92.3611,0.0055,50,0,1e-04,0,0,0,0,0,"Low","Low","Medium",NA,"Low",NA,NA,NA,NA,NA
