"","id","x","y","HBWID","focal","ncell","area","neighbours","nothing","biome_area_1","biome_area_2","biome_area_3","biome_area_4","biome_area_5","biome_area_6","biome_area_7","biome_area_8","biome_area_9","biome_area_10","biome_area_11","biome_area_12","biome_area_13","biome_area_14","LC_0","LC_1","LC_2","LC_3","LC_4","LC_5","LC_6","LC_7","LC_8","LC_9","LC_10","LC_11","LC_12","LC_13","LC_14","LC_15","LC_16","srTotal","srCarnivore","srOmnivore","srHerbivore","srNonthreatened","srThreatened","lt10kg","lt100kg","gt100kg","rs1","rs2","rs3","nocturnal","crepuscular","diurnal","crep_diurn","noct_crep_diurn","noct_crep","nothing","biome_1","biome_2","biome_3","biome_4","biome_5","biome_6","biome_7","biome_8","biome_9","biome_10","biome_11","biome_12","biome_13","biome_14","LC_sp_0","LC_sp_1","LC_sp_2","LC_sp_3","LC_sp_4","LC_sp_5","LC_sp_6","LC_sp_7","LC_sp_8","LC_sp_9","LC_sp_10","LC_sp_11","LC_sp_12","LC_sp_13","LC_sp_14","LC_sp_15","LC_sp_16","h_mean","h_pc0","fer_mean","fer_pc","irr_area_p","rice_ha","cereal_ha","wheat_ha","maize_ha","oil_p_ha","soy_ha","h_mean_cut","fer_mean_cut","fer_pc_cut","irr_area_p_cut","rice_ha_cut","cereal_ha_cut","wheat_ha_cut","maize_ha_cut","oil_p_ha_cut","soy_ha_cut"
"1",1,87.5,21.72177,12868,1,1,10108.78121,"12868",0,0,0,0,0,0,0,0,0,0,0,0,10108.78121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10108.78121,0,0,0,0,58,28,18,12,53,5,48,9,1,0,3,55,37,1,5,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0.782774,100,42.893,100,9.18841,0.501993,0.508049,0.00547222,0.000201389,0,0,"High","High","High","Medium","High","High","Low","Low",NA,NA
"2",2,67.5,24.99018,11768,3,6,71542.54449,"11407,11408,11409,NA,11768,11769,NA,NA,12129",0,0,0,0,0,0,0,71542.54449,0,0,0,0,0,0,0,10345.05526,0,0,0,0,0,0,36468.88923,0,0,0,0,24728.6,0,0,0,0,66,30,22,14,61,5,54,12,0,0,9,57,39,0,4,3,5,15,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,53,0,0,0,0,0,0,57,0,0,0,0,54,0,0,0,0,0.124083333333333,52.3950283333333,15.1152933333333,100,12.923209,0.0267265816666667,0.0812180166666667,0.0444887833333333,0.00031692625,0,0,"Low","Medium","High","Medium","Low","Low","Low","Low",NA,NA
"3",3,-107.5,47.448,5113,3,9,111278.7,"4752,4753,4754,5112,5113,5114,5472,5473,5474",0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,69,27,17,25,68,1,59,9,1,0,3,66,30,0,8,0,17,14,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0.340092,99.1293222222222,5.28183666666667,100,1.58986511111111,1e-04,0.0726742555555556,0.0621917888888889,0.000168663706666667,0,0,"Medium","Low","High","Low","Low","Low","Medium","Low",NA,NA
"4",4,16.5,-5.80593,22517,1,1,12364.3,"22517",0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,104,47,27,29,99,1,84,19,1,0,6,98,70,0,10,5,13,6,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0.07585,100,0.00525,100,0,0.00261806,0.0205,0,0.0149444,0.00110417,5.55556e-05,"Low","Low","High",NA,"Low","Low",NA,"Low","Low","Low"
"5",5,132.5,71.15352,1033,3,5,51998.42032,"NA,NA,NA,NA,1033,1034,1392,1393,1394",0,37092.9,14905.52032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51998.42032,0,0,0,0,0,0,0,0,0,34,9,8,17,32,2,26,5,3,0,0,34,9,0,7,2,12,4,0,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0.03639784,59.54632,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"6",6,115.5,2.20485,19736,3,9,111278.7,"19375,19376,19377,19735,19736,19737,20095,20096,20097",0,0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,75,56,51,127,37,174,6,2,10,46,126,122,1,41,2,10,6,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133675777777778,97.6851888888889,1.42413888888889,100,0.0574138888888889,0.00374073777777778,0.00409413444444444,0,2.70061155555556e-05,0.00645061888888889,0,"Low","Low","High","Low","Low","Low",NA,"Low","High",NA
"7",7,24.5,48.94875,4885,3,9,111278.7,"4524,4525,4526,4884,4885,4886,5244,5245,5246",0,0,0,61821.5,49457.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37092.9,0,0,0,0,0,0,49457.2,0,24728.6,0,0,89,44,23,22,85,3,79,7,3,2,7,80,47,1,7,2,19,12,0,0,0,82,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,77,0,81,0,0,0.506061777777778,100,4.65703333333333,100,0.218599711111111,1e-04,0.153175111111111,0.0841824666666667,0.0185796155555556,0,0.000482158422222222,"High","Low","High","Low","Low","Medium","Medium","Low",NA,"Low"
"8",8,-77.5,8.23284,17383,1,1,10454.11225,"17383",0,0,0,0,0,0,0,0,0,0,0,0,10454.11225,0,0,0,0,10454.11225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,84,62,50,175,8,186,9,1,12,27,157,148,0,14,3,20,11,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126909,100,0.1735,100,0.00065,0.00101389,0.00220139,0,0.00113194,4.86111e-05,0,"Low","Low","High","Low","Low","Low",NA,"Low","Low",NA
"9",9,-75.5,2.20485,19545,1,1,12364.3,"19545",0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,86,82,64,207,15,216,14,3,5,31,197,169,1,24,4,22,13,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287954,100,1.1375,100,1.41307,0.00768056,0.0138125,6.94444e-05,0.00524306,0.000715278,0,"Medium","Low","High","Low","Low","Low","Low","Low","Low",NA
"10",10,57.5,45.98897,5638,3,9,111278.7,"5277,5278,5279,5637,5638,5639,5997,5998,5999",0,0,0,0,0,0,0,98914.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74185.8,0,0,0,0,0,37092.9,56,20,16,20,51,4,48,8,0,0,3,53,31,1,5,3,10,6,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,44,0.0442490333333333,94.8984888888889,0.617804074111111,6.61375555555556,0,1e-04,9.77366666666667e-06,6.68724444444444e-06,0,0,0,"Low","Low","Low",NA,"Low","Low","Low",NA,NA,NA
"11",11,162.5,63.36129,2143,1,1,12364.3,"2143",0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,30,10,5,15,30,0,24,5,1,0,1,29,8,0,6,1,13,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0.00477337,21.0526,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"12",12,-49.5,-21.28275,27851,3,9,111278.7,"27490,27491,27492,27850,27851,27852,28210,28211,28212",0,0,0,0,0,0,0,0,0,0,0,49457.2,61821.5,0,0,0,0,0,0,0,0,0,0,0,12364.3,12364.3,0,12364.3,0,74185.8,0,0,181,69,66,45,160,7,167,12,1,0,15,165,121,1,16,3,21,18,0,0,0,0,0,0,0,0,0,0,0,176,168,0,0,0,0,0,0,0,0,0,0,0,151,145,0,151,0,180,0,0,0.358041444444444,100,11.9912477777778,100,1.69278122222222,0.00158849666666667,0.0525210333333333,0.00126828065555556,0.0434756555555556,0,0.0371439188888889,"Medium","Medium","High","Low","Low","Low","Low","Medium",NA,"Medium"
"13",13,127.5,53.75572,3908,3,9,111278.7,"3547,3548,3549,3907,3908,3909,4267,4268,4269",0,0,37092.9,37092.9,37092.9,0,0,0,0,0,0,0,0,0,0,0,0,0,37092.9,0,61821.5,0,0,0,0,0,0,0,0,12364.3,0,0,64,28,11,25,62,2,51,10,3,0,0,64,24,0,7,3,22,8,0,0,43,51,59,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,61,0,0,0,0,0,0,0,0,54,0,0,0.0291132255555556,67.1631333333333,0.413791811111111,70.6349177777778,0.00373064111111111,1e-04,0.00797061666666667,0.00372904444444444,0.000113269277777778,0,0.000332149977777778,"Low","Low","High","Low","Low","Low","Low","Low",NA,"Low"
"14",14,24.5,1.20435,20005,1,1,12364.3,"20005",0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,72,46,40,148,3,136,18,5,1,23,135,106,0,27,6,12,8,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328819,100,0,0,0,0.00145139,0.00276389,0,0.00125694,0.000104167,0,"Low",NA,NA,NA,"Low","Low",NA,"Low","Low",NA
"15",15,43.5,20.64921,13184,3,9,111278.7,"12823,12824,12825,13183,13184,13185,13543,13544,13545",0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111278.7,45,21,15,9,41,3,37,8,0,1,5,39,25,0,2,3,2,13,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-0.000644984444444444,5.77516044444444,1.00459366666667,18.75,1.27856666666667,1e-04,0.00288390033333333,0.00242948634444444,4.27350666666667e-06,0,0,"Low","Low","Low","Low","Low","Low","Low","Low",NA,NA
"16",16,20.5,17.47459,14241,3,9,111278.7,"13880,13881,13882,14240,14241,14242,14600,14601,14602",0,0,0,0,0,0,0,74185.8,0,0,0,37092.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111278.7,30,10,13,7,24,5,22,8,0,0,1,29,14,0,2,6,0,8,0,0,0,0,0,0,0,27,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0112055688888889,6.88508666666667,0,0,0.00913227888888889,1e-04,0,0,0,0,0,"Low",NA,NA,"Low","Low",NA,NA,NA,NA,NA
"17",17,-111.5,71.15352,789,1,1,11435.35295,"789",0,11435.35295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11435.35295,0,0,0,0,0,0,7,1,3,3,6,1,3,2,2,0,0,7,2,0,2,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"18",18,-6.5,33.00047,9174,3,8,92903.70808,"NA,8814,8815,9173,9174,9175,9533,9534,9535",0,0,0,0,0,0,0,0,0,92903.70808,0,0,0,0,0,0,0,0,0,0,0,0,49457.2,0,0,0,0,43446.50808,0,0,0,0,76,39,24,13,70,6,65,9,2,1,8,67,46,0,5,5,4,16,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,54,0,0,0,0,0.518343625,99.7424875,6.276075875,100,7.046400375,0.0004816965,0.2460708,0.16150995,0.005052279625,0,0,"High","Low","High","Medium","Low","Medium","Medium","Low",NA,NA
"19",19,-147.5,63.36129,1833,3,9,104650.75902,"1472,1473,1474,1832,1833,1834,2192,2193,2194",0,24728.6,70601.60193,0,0,0,0,0,0,0,0,0,0,0,0,18900.23319,0,0,0,0,0,0,37092.9,37092.9,0,0,0,0,0,0,11564.72583,0,48,17,9,22,47,1,35,10,3,1,1,46,14,0,6,3,16,9,0,48,40,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,42,40,0,0,0,0,0,0,41,0,0.0631087777777778,56.4961,0,0,0.00713055755555556,1e-04,0,0,0,0,0,"Low",NA,NA,"Low","Low",NA,NA,NA,NA,NA
"20",20,34.5,19.58417,13535,1,1,12364.3,"13535",0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,29,9,15,5,28,1,25,4,0,0,0,29,14,0,1,2,1,11,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"21",21,97.5,30.64625,9998,3,9,111278.7,"9637,9638,9639,9997,9998,9999,10357,10358,10359",0,0,0,98914.4,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98914.4,0,0,0,0,12364.3,0,136,47,40,49,110,22,104,24,8,2,33,101,56,1,16,11,37,15,0,0,0,66,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,99,0,0.178914555555556,97.7513333333333,0.123664855555556,100,0.0210254777777778,1.91799222222222e-05,0.00184920677777778,0.000421957777777778,0.0001018518,0,2.05026488888889e-05,"Low","Low","High","Low","Low","Low","Low","Low",NA,"Low"
"22",22,-61.5,-27.88493,29999,1,1,12364.3,"29999",0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,55,29,14,12,52,2,49,5,1,0,3,52,33,2,1,1,10,8,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0.225405,100,3.2323,100,0.00131818,5.95238e-06,0.0617262,0.0313155,0.0158512,0,0.0886905,"Medium","Low","High","Low",NA,"Low","Low","Low",NA,"Medium"
"23",23,141.5,-27.88493,30202,3,9,111278.7,"29841,29842,29843,30201,30202,30203,30561,30562,30563",0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,35,22,5,8,31,3,31,4,0,0,4,31,27,0,0,0,3,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0.0254465288888889,23.4709922222222,0.143832044444444,91.7284,0,1e-04,0,0,0,0,0,"Low","Low","High",NA,"Low",NA,NA,NA,NA,NA
"24",24,13.5,28.34806,10634,1,1,12364.3,"10634",0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,16,2,10,4,14,2,12,4,0,0,0,16,7,0,1,2,0,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"25",25,93.5,68.25572,1354,3,9,111278.7,"993,994,995,1353,1354,1355,1713,1714,1715",0,37092.9,74185.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,31,10,5,16,31,0,24,5,2,0,1,30,8,0,4,1,14,3,0,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0.00187183188888889,21.9456333333333,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"26",26,-9.5,7.22362,17811,3,9,106469.1805,"17450,17451,17452,17810,17811,17812,18170,18171,18172",0,0,0,0,0,0,0,0,0,0,0,12364.3,94104.8805,0,0,7591.96999,0,86512.91051,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,212,100,60,51,180,18,179,24,9,10,42,160,156,0,23,9,16,8,0,0,0,0,0,0,0,0,0,0,0,195,202,0,0,122,0,202,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0.151632666666667,100,0.132388888888889,25,0.0221222222222222,0.0173657411111111,0.0192307111111111,0,0.00161342588888889,0.00449768533333333,0.000435957222222222,"Low","Low","Medium","Low","Low","Low",NA,"Low","Medium","Low"
"27",27,76.5,33.00047,9257,3,9,111278.7,"8896,8897,8898,9256,9257,9258,9616,9617,9618",0,0,0,0,12364.3,0,74185.8,12364.3,0,0,12364.3,0,0,0,0,0,0,0,0,0,37092.9,0,0,0,0,24728.6,0,12364.3,0,0,0,37092.9,127,58,26,43,113,10,101,19,7,6,17,104,75,1,4,10,22,15,0,0,0,0,88,0,115,79,0,0,86,0,0,0,0,0,0,0,0,0,104,0,0,0,0,94,0,79,0,0,0,78,0.509081666666667,98.9726666666667,17.3150233333333,91.1111111111111,8.7319843,0.0540097581644444,0.185765442,0.0873502412222222,0.0391095312222222,0,3.04233333333333e-05,"High","Medium","High","Medium","Low","Medium","Medium","Medium",NA,"Low"
"28",28,46.5,41.82327,6707,3,9,107213.54999,"6346,6347,6348,6706,6707,6708,7066,7067,7068",0,0,0,0,24728.6,49421.65264,0,33063.29735,0,0,0,0,0,0,0,8334.69735,0,0,0,0,0,0,0,0,0,37057.35264,0,61821.5,0,0,0,0,111,54,27,30,102,7,95,14,2,3,19,89,64,0,5,4,25,13,0,0,0,0,97,83,0,89,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,88,0,111,0,0,0,0,0.289723222222222,99.9421333333333,1.63867911111111,100,10.1908111111111,0.00111070311111111,0.0501052111111111,0.0342088888888889,0.00489936766666667,0,0.000177832255555556,"Medium","Low","High","Medium","Low","Low","Low","Low",NA,"Low"
"29",29,29.5,3.20602,19290,3,9,111278.7,"18929,18930,18931,19289,19290,19291,19649,19650,19651",0,0,0,0,0,0,0,0,0,0,0,61821.5,49457.2,0,0,0,0,24728.6,0,0,0,0,0,74185.8,0,0,0,0,0,12364.3,0,0,269,119,81,68,251,7,227,30,12,2,32,235,186,0,34,9,25,15,0,0,0,0,0,0,0,0,0,0,0,228,258,0,0,0,0,222,0,0,0,0,0,240,0,0,0,0,0,225,0,0,0.0995003333333333,100,0.00230555555555556,19.4444444444444,0,0.00454783406666667,0.0102901237777778,6.94444444444444e-06,0.00463117942222222,0.000280093137777778,1.54321111111111e-06,"Low","Low","Low",NA,"Low","Low","Low","Low","Low","Low"
"30",30,10.5,59.19334,2711,3,6,64670.60179,"2350,2351,2352,2710,2711,2712,NA,NA,NA",0,41515.79364,10790.50815,0,12364.3,0,0,0,0,0,0,0,0,0,0,7031.22966,57639.37213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,12,13,50,0,39,8,3,0,0,50,21,0,4,1,15,8,0,43,45,0,43,0,0,0,0,0,0,0,0,0,0,41,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1405955,99.3238833333333,12.1806840166667,63.3986966666667,1.28705333333333,1e-04,0.020072645,0.00378700333333333,0,0,0,"Low","Medium","Medium","Low","Low","Low","Low",NA,NA,NA
"31",31,32.5,11.27734,16413,3,9,111278.7,"16052,16053,16054,16412,16413,16414,16772,16773,16774",0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,0,37092.9,24728.6,0,49457.2,0,0,0,0,105,53,27,24,99,4,80,18,7,2,4,99,68,0,10,2,11,14,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,95,76,0,93,0,0,0,0,0.352999,100,0.340919777777778,100,0.269380188888889,1e-04,0.130510411111111,0.00324727111111111,0.000759853,0,0,"Medium","Low","High","Low","Low","Medium","Low","Low",NA,NA
