"","id","x","y","HBWID","focal","ncell","area","neighbours","nothing","biome_area_1","biome_area_2","biome_area_3","biome_area_4","biome_area_5","biome_area_6","biome_area_7","biome_area_8","biome_area_9","biome_area_10","biome_area_11","biome_area_12","biome_area_13","biome_area_14","LC_0","LC_1","LC_2","LC_3","LC_4","LC_5","LC_6","LC_7","LC_8","LC_9","LC_10","LC_11","LC_12","LC_13","LC_14","LC_15","LC_16","srTotal","srCarnivore","srOmnivore","srHerbivore","srNonthreatened","srThreatened","lt10kg","lt100kg","gt100kg","rs1","rs2","rs3","nocturnal","crepuscular","diurnal","crep_diurn","noct_crep_diurn","noct_crep","nothing","biome_1","biome_2","biome_3","biome_4","biome_5","biome_6","biome_7","biome_8","biome_9","biome_10","biome_11","biome_12","biome_13","biome_14","LC_sp_0","LC_sp_1","LC_sp_2","LC_sp_3","LC_sp_4","LC_sp_5","LC_sp_6","LC_sp_7","LC_sp_8","LC_sp_9","LC_sp_10","LC_sp_11","LC_sp_12","LC_sp_13","LC_sp_14","LC_sp_15","LC_sp_16","h_mean","h_pc0","fer_mean","fer_pc","irr_area_p","rice_ha","cereal_ha","wheat_ha","maize_ha","oil_p_ha","soy_ha","h_mean_cut","fer_mean_cut","fer_pc_cut","irr_area_p_cut","rice_ha_cut","cereal_ha_cut","wheat_ha_cut","maize_ha_cut","oil_p_ha_cut","soy_ha_cut"
"1",1,78.5,41.82327,6739,1,1,12364.3,"6739",0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,56,24,11,21,54,2,44,8,4,1,7,48,25,0,5,5,13,8,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0.0599604,99.4792,0.316182,100,2.07219,4.16667e-05,0.00797917,0.00623958,0.000760417,0,0,"Low","Low","High","Low","Low","Low","Low","Low",NA,NA
"2",2,140.5,-36.14864,32721,5,16,190318.26052,"31999,32000,32001,32002,32003,32359,32360,32361,32362,32363,NA,NA,32721,32722,32723,NA,NA,33081,33082,33083,NA,NA,NA,NA,NA",0,0,0,0,12364.3,0,0,153225.36052,0,24728.6,0,0,0,0,0,0,0,0,0,0,0,0,74185.8,0,0,0,0,116132.46052,0,0,0,0,69,34,18,17,62,6,60,9,0,8,21,40,59,0,1,0,3,6,0,0,0,0,48,0,0,29,0,65,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,62,0,0,0,0,0.454384,98.3788875,6.3906751875,100,0.7216423875,0.0007590775,0.13829203125,0.0714101625,2.527280625e-05,0,2.9340275e-05,"High","Low","High","Low","Low","Medium","Medium","Low",NA,"Low"
"3",3,106.5,13.32453,15767,5,25,304007.41944,"15045,15046,15047,15048,15049,15405,15406,15407,15408,15409,15765,15766,15767,15768,15769,16125,16126,16127,16128,16129,16485,16486,16487,16488,16489",0,0,0,0,0,0,0,0,0,0,0,0,254550.21944,49457.2,0,10398.56949,0,132872.94995,0,0,0,0,0,74185.8,0,0,0,12364.3,0,74185.8,0,0,199,92,56,51,148,39,173,18,8,14,39,146,133,1,28,3,20,14,0,0,0,0,0,0,0,0,0,0,0,0,176,198,0,129,0,188,0,0,0,0,0,155,0,0,0,99,0,155,0,0,0.33545164,99.841884,11.94979948,100,2.37310732,0.113032624,0.121132212,0,0.00772875816,0.0005526924,0.0018691039016,"Medium","Medium","High","Low","Medium","Medium",NA,"Low","Low","Low"
"4",4,110.5,30.64625,10011,7,49,605850.7,"8928,8929,8930,8931,8932,8933,8934,9288,9289,9290,9291,9292,9293,9294,9648,9649,9650,9651,9652,9653,9654,10008,10009,10010,10011,10012,10013,10014,10368,10369,10370,10371,10372,10373,10374,10728,10729,10730,10731,10732,10733,10734,11088,11089,11090,11091,11092,11093,11094",0,0,0,0,358564.7,0,0,0,0,0,0,0,247286,0,0,0,0,0,0,0,333836.1,0,0,74185.8,0,0,0,197828.8,0,0,0,0,185,85,49,51,165,14,163,18,4,3,38,144,112,1,20,6,33,13,0,0,0,0,158,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,181,0,0,123,0,0,0,150,0,0,0,0,0.502872836734694,100,46.4509469387755,100,11.2367278979592,0.0984305655510204,0.219364416326531,0.0698068706734694,0.0464848791836735,0,0.0165771879591837,"High","High","High","High","Medium","Medium","Medium","Medium",NA,"Medium"
"5",5,140.5,63.36129,2121,3,9,111278.7,"1760,1761,1762,2120,2121,2122,2480,2481,2482",0,37092.9,74185.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,35,13,6,16,34,1,27,6,2,0,0,35,10,0,6,1,15,3,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0.0216214033333333,36.2472388888889,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"6",6,102.5,13.32453,15763,5,20,233876.04731,"15041,15042,15043,15044,15045,15401,15402,15403,15404,15405,15761,15762,15763,15764,15765,NA,NA,16123,16124,16125,NA,NA,NA,16484,16485",0,0,0,0,0,0,0,0,0,0,0,0,148371.6,85504.44731,0,14325.20072,0,22095.87347,0,0,0,0,0,24728.6,0,0,0,12364.3,0,160362.07312,0,0,180,94,46,40,143,29,163,11,6,7,32,141,131,1,22,3,13,10,0,0,0,0,0,0,0,0,0,0,0,0,161,167,0,143,0,122,0,0,0,0,0,115,0,0,0,112,0,172,0,0,0.4978593,99.78556,14.15259435,100,9.7105811,0.230975005,0.25942688,0,0.0263542587,0.0034359785,0.002189021687,"High","Medium","High","High","Medium","Medium",NA,"Medium","Medium","Low"
"7",7,137.5,53.75572,3918,1,1,6259.42687,"3918",0,0,6259.42687,0,0,0,0,0,0,0,0,0,0,0,0,6259.42687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,22,5,13,38,2,31,6,3,0,0,40,17,0,3,2,12,6,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028979,57.2581,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"8",8,86.5,45.98897,5667,3,9,111278.7,"5306,5307,5308,5666,5667,5668,6026,6027,6028",0,0,0,0,0,0,0,111278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74185.8,0,0,0,0,0,37092.9,104,32,26,46,96,6,89,10,5,1,9,94,47,1,13,7,26,10,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,71,0.0829848555555556,92.3408888888889,2.67907218555556,88.8888888888889,4.51432588888889,0.000420358022222222,0.00762158418888889,0.00464154621111111,0.00220863518666667,0,0.000357146955555556,"Low","Low","High","Medium","Low","Low","Low","Low",NA,"Low"
"9",9,45.5,7.22362,17866,1,1,12364.3,"17866",0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,48,18,15,14,46,1,35,11,2,0,5,43,19,0,7,3,10,9,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0.141642,100,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"10",10,34.5,-0.79584,20735,1,1,12364.3,"20735",0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,190,87,45,57,179,5,146,30,14,2,7,181,121,1,22,10,24,12,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0.447885,100,2.463,100,0.20245,0.000333333,0.0675903,0.0044375,0.0516389,0,0,"High","Low","High","Low","Low","Low","Low","Medium",NA,NA
