"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",226.149254921638,211.686879220099,205.522401025042,207.585499314529,209.4516901155,210.429983829989,209.144674155017,215.840441359063,221.230412183106,223.569691612552,226.067502823626,228.329745380503,228.364768669399,228.459487810065,228.216743830536,230.69659307782,231.978823278729,233.312577474691,234.658337554616,236.61219234866
"RSquare",0.366913407163856,0.452159901504394,0.484911530497662,0.474174370857655,0.464269325277613,0.459002585673713,0.465911581669621,0.428925842249337,0.397300468633194,0.383035443582596,0.367430757234651,0.352957412796141,0.352730757512794,0.352117379201038,0.353688167988516,0.337460226268446,0.328910243106075,0.319899598967602,0.310685216592649,0.297084570890247
"RSA",614.130226519061,548.848335283812,545.355632496794,578.562648490061,601.267536541227,594.947532421154,597.272699802202,605.716931600152,619.780647546878,612.341798295973,619.98501538068,631.983123754428,629.957980631662,624.633897303141,633.018673864146,640.179566902765,644.448148557879,647.962448823768,647.758643333536,653.928742195604
