"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",142.464499138116,138.487200313688,140.906760283161,136.650306258024,135.050769689077,137.340788075568,139.336068867208,137.778417622201,138.741544806353,138.111245463924,140.289533688939,138.124155769764,138.042910983149,138.961416129751,141.291109426744,143.177515103725,146.586687392189,147.228541486926,148.392740752775,149.743893542876
"RSquare",0.634714409736662,0.64895778093466,0.640360515346439,0.655347191579882,0.660816183420494,0.652959191739357,0.645965210402151,0.651437110514186,0.648063787954526,0.650275063436667,0.64257346939305,0.650229909963096,0.650513964521005,0.647289129834137,0.638975584286754,0.632100557640465,0.619341986661126,0.616890859701241,0.612404642317772,0.607132096969713
"RSA",659.386385009517,686.148229608553,683.047174731811,668.708056701358,668.008752294355,657.360402342059,656.398838397745,654.712887369792,654.939527587492,660.970836046684,662.890941365724,661.721771180881,664.366948666855,666.394083244424,667.894932068534,662.438644242776,652.380488858888,662.167764936679,664.096442361557,664.971808393548
