"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",181.553438560705,169.000368434824,159.460166847249,159.023999358325,159.138692334236,171.074393390433,183.000323159258,194.353536415623,196.804745241863,199.756489798587,204.806255622465,210.073864001268,213.701280702687,214.727411289,218.043749660582,220.509527590244,224.192654680297,227.66392967206,230.429312610239,233.211636996401
"RSquare",0.598058082825578,0.645475699500833,0.677734778295325,0.679137333452162,0.678769115391551,0.638045996413615,0.592200170711343,0.543171260096424,0.531835064388198,0.517810058504576,0.492835319653748,0.465403718536264,0.445655677212946,0.439938095806553,0.421053134148999,0.406600132934613,0.384336988409786,0.362590373485648,0.344717569675099,0.326229480177758
"RSA",581.764659739646,600.674086922156,614.168895514456,600.818030157777,615.966759380523,629.980638907413,638.660318903,644.512570645031,647.751427934712,654.603005378179,667.500104558507,669.460897492585,675.043673971477,676.831330526482,673.429270317465,680.014701987319,684.827953579134,689.996697249874,688.121543597811,686.934085315064
