"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",169.613425156206,165.460053573294,160.877579003231,161.355987251819,161.215095997159,164.683896947325,165.054093924504,165.597594998667,166.103886444268,165.221244525575,167.53197489876,167.810596838024,168.18891018365,168.383248185965,168.571788401808,168.295866674355,169.22848949038,170.168194433293,170.838487163266,170.839773874885
"RSquare",0.624342033608824,0.639624930176,0.655766363051909,0.654115575334554,0.654602553105039,0.642411178346488,0.641084942009208,0.639128924139585,0.637297231814741,0.640484511660771,0.632080353300432,0.631053819035109,0.629655402864695,0.628934982774673,0.628234716055525,0.629259083373158,0.625785295505949,0.622252207126582,0.619711686181683,0.619706792936285
"RSA",581.359616688033,583.604199187142,596.349835328955,588.409677587124,583.825600475925,594.138779949042,596.266887076296,599.120677459701,607.555039387182,609.159483194928,600.970664537472,599.083407507432,590.927083691711,582.253161756625,580.717817684179,573.45877202268,570.447046655486,565.945112129132,565.737777880661,566.801375972842
