"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",117.569975220606,111.336452567751,114.562054758483,115.092575014426,117.360652136314,125.017386562289,129.028752917064,130.336674825189,133.385692706,136.991996438431,142.053282522704,144.090898119124,146.618684399198,148.334999119338,151.550625271118,154.56606724463,158.23653450268,160.496820185105,161.118709051464,162.521529883591
"RSquare",0.774877941830409,0.788482548234454,0.78154860719113,0.780386598683044,0.775348681410805,0.757472077207353,0.747545631686482,0.744222038070114,0.736303212541712,0.726619950976837,0.712427268064146,0.706507535343866,0.698994111507784,0.693783314207545,0.683776501799499,0.674095740372674,0.661911285935992,0.654182497836041,0.65202519623565,0.64710933344025
"RSA",645.462289664826,651.458523281513,658.316435198815,666.215412829243,654.215132458169,660.541134492779,644.958782632782,652.299208521342,638.984335981945,652.182490470962,648.186747582052,641.570481344466,640.997286134414,637.228461254102,642.305692707518,650.69411573804,655.231271724716,656.723638179994,654.735764379164,653.971964139771
