"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",178.830209551589,168.900905447568,164.572574524285,155.786115386006,152.649277999536,157.010656414957,162.632507283047,159.633892318654,162.376936630918,165.04108699641,167.047320264673,169.867995581936,170.311211091555,173.39630796098,177.264678046641,181.018067265885,182.95971784555,185.218946629659,190.233476355709,194.051441183807
"RSquare",0.345195583128612,0.407089446822385,0.432205112143233,0.479965243277292,0.496024691737567,0.473558055055119,0.443114547392403,0.4595655146606,0.444535966037113,0.42953868087344,0.417978319951648,0.401327651385929,0.39866835382873,0.379827555942704,0.35536692703443,0.33071152666208,0.317589301514305,0.301996608502373,0.266102583808436,0.237540869903828
"RSA",640.551985832996,644.703528326312,633.427662492743,616.419622288928,613.045162920802,618.913826907617,626.347511403614,636.50215696692,642.025526824332,651.12977856544,651.750038343412,649.190825887702,653.351296498494,649.212743065336,639.29142513329,645.690039137301,639.727137451565,641.348900348911,643.917917496554,648.859955707745
