"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",138.951983977641,153.152527656144,150.845083627101,149.365449747364,152.974004472054,152.412345678323,151.705404838105,152.623689479989,157.07760706269,159.441527025659,161.484645151017,163.373114419036,164.889488795322,165.386118451926,164.558642110323,165.889235469655,167.083212825951,165.581037818383,168.19632631515,169.458161833284
"RSquare",0.690702746794618,0.643509270340646,0.651640917007479,0.656757409994223,0.64414512120274,0.646138209006467,0.648630980931861,0.645389553204583,0.629238488477545,0.620369569013668,0.612533493311916,0.605146779021285,0.599113699521582,0.597117827319708,0.600437826933685,0.595085750973041,0.590222189393499,0.59633176609725,0.585635416674122,0.580373689833502
"RSA",671.508586809624,691.550901566732,688.700966783841,689.654025691,690.322006648196,699.004931971825,716.786317907666,716.928030812328,732.04761025276,744.443733018344,752.454496106627,764.683462025511,758.924193978562,758.330479159853,755.355063092525,759.051079201151,764.24266101451,766.586898888275,768.747114908667,770.486554244929
