"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",154.757021065471,143.428497920363,147.467323532565,152.13352732134,159.10431239389,156.627887709091,151.994463410043,156.406884282845,163.436700458289,165.161940576062,169.484408916641,174.831480649118,178.045939701547,180.563828375612,182.294697296269,185.720242349716,187.801360865454,189.922578106355,191.606654492262,191.245406218126
"RSquare",0.590268892039658,0.634152756478824,0.619074379237463,0.600878383836981,0.572063840852393,0.582531214286359,0.601433032219994,0.583452815845672,0.553116513413779,0.545339809708088,0.525256343034814,0.49918052533601,0.482820351541121,0.469633019272564,0.460373155162364,0.441567739352961,0.429824328875374,0.417600475338202,0.407709369349647,0.409845148974561
"RSA",700.592860692452,644.434511343489,642.951475634966,637.966000156764,608.225676996292,612.587524536118,618.252300646063,625.092536676619,634.114053065387,623.465005517108,625.89766874527,629.75472726243,637.999111854403,634.725797669969,638.740172318908,647.00152815,651.950324397643,662.324510175065,666.451389524947,665.293477146424
