"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",169.052588211407,172.958445910568,174.312175811473,173.610232475414,172.075216468455,172.672503397059,170.43930665784,171.460773969744,171.402577282427,174.758660468732,175.892794877037,177.456173684073,178.184025133611,178.140447073285,177.986454394934,177.81880603497,177.787940691945,177.559774167654,177.981191152213,178.262996927672
"RSquare",0.585525160040526,0.569016050190699,0.563142022061615,0.566197780133676,0.572805866303591,0.570246656278128,0.57973752462098,0.575422680969389,0.575669699019034,0.561187157378162,0.556182101560115,0.549189024888765,0.545895820392011,0.546093667073338,0.546792111677819,0.547551270733158,0.547690899035969,0.548721740525882,0.54681596448129,0.545537064535143
"RSA",657.093625475025,651.452273817877,634.94962250439,645.515915515743,655.076436821145,659.560976525537,655.680356588521,673.133841179382,682.674194621217,682.386235852977,683.644369612087,678.617068021079,673.886976763569,675.266803139353,678.020745480007,679.935215978204,677.555620299872,676.828296743427,675.696031991701,670.949940946504
