"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",146.842910343239,125.788223146446,130.310357885476,131.408865454645,145.411506865467,155.041227659974,161.214540932466,168.540207028804,175.149990455064,183.423465190019,190.630606500312,195.743296304081,199.554537415779,202.552979923304,206.109439456263,207.982677326238,212.089912770939,215.022039012186,218.211189525956,218.6921035334
"RSquare",0.616530590901676,0.689335678245901,0.674964526573684,0.671374303965234,0.621980487303542,0.583767905929037,0.557262893053367,0.523611919698259,0.491059735522371,0.447161785843314,0.40584702996162,0.374679880654921,0.350387441919881,0.330614219927541,0.306379388940426,0.293263765086301,0.263632088024271,0.241721193477788,0.217148798304966,0.213374889864933
"RSA",766.510575373774,720.152993258774,719.821734487171,727.005983354888,706.097876381761,696.467662574776,691.847254615276,695.319248382285,701.354527469087,718.627695498014,737.543352867528,754.769239397093,761.508016692935,763.019386375983,768.747743003698,771.672469042648,774.108146640052,774.552019738382,779.330179203924,784.067234621947
