"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",133.347676570238,146.117070268695,144.393336464657,147.717226378113,147.10012765499,150.888162509072,153.770513380443,158.815304103473,162.080087891872,160.94823365275,162.849531537507,167.725233543973,169.029008654673,172.536553533209,176.013487061719,179.240756907179,182.34299459546,185.369451247255,188.70735244892,190.683168103503
"RSquare",0.630982427358332,0.580720315410632,0.587885648020941,0.573957220188338,0.576578229318008,0.560231204238107,0.547371077870599,0.523951118791202,0.508152662623094,0.513688270955589,0.504353577372913,0.479588505100513,0.472759086164777,0.45393772016517,0.434617569590197,0.416073529273473,0.397674832101072,0.379167069943524,0.358094546580041,0.345285553801731
"RSA",739.823264185331,707.359805824856,683.413359158579,653.255929211859,657.822707839938,662.212926910287,671.876379522071,673.808603688441,673.177438311015,676.639876593095,687.829202429972,679.939441297689,680.041976017145,687.372199166444,687.188443827665,688.176852933415,689.836710376012,691.652998701048,696.283811186611,705.780174915256
