"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",118.510328549529,95.3204107812499,106.875359302004,122.182638457774,132.693650706685,141.099778666466,144.898490098478,146.782932023247,152.163375204463,156.167387520356,163.473972268784,169.803421086784,176.075835315422,179.719359118128,183.840618307002,187.449418057353,189.287179466963,191.161588621022,192.9469427528,195.651837881001
"RSquare",0.774312990494432,0.821024316898412,0.799101574767631,0.765871004852464,0.739921802016109,0.717114102620103,0.706161369385564,0.700571648935095,0.684019787722843,0.67111119483727,0.646180971711199,0.623062251273128,0.598661908366615,0.583769400922004,0.566257073531048,0.550318290275066,0.541977809013899,0.533311633071247,0.524904770198295,0.511878564069955
"RSA",660.129287598305,609.366824688828,582.710586553694,571.202281611628,573.473884756004,587.618904882824,618.408106560829,633.648063478894,639.403127581172,662.435330459002,671.43408254081,690.272738670865,701.575421362485,692.863346744771,689.291017573742,690.95458477709,691.05050449877,690.613806953486,686.497691890976,690.531472832223
