"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",165.194316933714,157.303673754995,158.190088197318,161.159841707408,171.433277716042,169.759987860598,174.790981058114,180.520105881473,177.531953246034,179.051543499773,181.910034820902,185.319926548461,189.469515100087,190.43491955461,192.17500320273,193.075733901675,193.864137296494,195.022905179484,196.398763827953,197.167505783647
"RSquare",0.502386173152476,0.540141930952283,0.536047562888017,0.522062688764049,0.470351310938962,0.479140132429167,0.452265341780435,0.419968613002325,0.437044439723288,0.428424493840267,0.411850300205009,0.391449180928381,0.365665568541083,0.359512020160901,0.348269462275426,0.342372607726514,0.337167358823334,0.32944199397904,0.32015230370004,0.314905889366687
"RSA",532.428115621434,570.825458117985,582.728853719931,605.330830008429,618.102935883046,598.977849524078,619.606295916442,625.699261683768,623.693472851262,635.997410420334,649.644816408179,652.36472503676,660.187769548242,659.770174555612,671.319035935755,672.994217452476,675.274077452002,673.889612283538,678.481876744531,681.920515165553
