"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",137.324764811733,134.637099505579,126.404859028465,129.188252316301,140.616485393131,145.031285835533,150.297617922776,156.411477646367,165.292226721115,173.714332079492,179.949501447632,184.032730772856,186.505891018585,188.129857034048,193.253032025689,195.31357889261,197.946555780556,200.236165063281,203.278119479079,206.173732211178
"RSquare",0.583630194700244,0.594671776468037,0.626702845778613,0.616166564998694,0.56969639132054,0.550273765138239,0.525954953716653,0.496068196314369,0.44926792450946,0.40087545795898,0.362329822325213,0.335753390726193,0.319120678617752,0.307973158856289,0.271595524180698,0.256430706042674,0.23659267911209,0.218911997352772,0.194786574522722,0.171129861563366
"RSA",586.978110782779,572.232635999897,598.64692680124,612.221843112994,643.212270157081,655.87809789098,664.145799872022,681.767286132135,697.190744409769,715.694748257303,716.51890911092,725.890506190355,731.986936403962,730.556176136587,735.861553236736,735.782595694678,737.304153935181,738.574568786419,741.357760872438,738.690230039204
