"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",157.071255534247,147.741817436613,143.582232751411,143.497010197165,150.394585678895,161.715844565221,169.75568565249,175.702977356818,178.753385694467,183.5378889282,187.013655178798,188.254653136883,189.281201036686,190.08060909935,193.15023087344,196.231661920281,200.173431726336,202.844533835251,202.92926268644,204.231295501645
"RSquare",0.57518425276408,0.613024587264323,0.628790975920068,0.629107194967865,0.60262165360338,0.554987919354908,0.517732065559822,0.48818012462618,0.472326964677805,0.446466722139128,0.426888931101092,0.419732319584576,0.413744914687756,0.409039561841041,0.390618022223317,0.371548031380706,0.346281192579588,0.328584398181919,0.328015274383819,0.319208604290965
"RSA",606.477209572817,592.305768656843,584.604378608524,605.814978353365,638.938570260673,652.586387572047,652.970798454832,654.850961449543,655.244358369049,660.799256816038,649.468499300547,659.791620896934,662.979061562715,660.164713004653,660.369188971307,671.464756670006,682.239119483965,684.096151711134,683.952966324569,680.07334726623
