"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",134.77395877193,121.771670569898,135.296279560963,156.140713857813,159.141997164344,163.435500576421,171.277130404871,174.835865278211,179.400274039352,185.07079569477,191.369274428413,195.104876098586,199.199468474628,202.402312111687,204.660040756955,208.59973337282,208.954210574071,212.585489232033,214.571315407835,214.997788486101
"RSquare",0.690811074262525,0.728508829356245,0.689191891242446,0.617158888327703,0.605494578012117,0.588187594886853,0.554594894919547,0.538458688669431,0.516903873803845,0.488718218644856,0.455479464117508,0.43475363888418,0.411128733324277,0.39196281866133,0.378078847604377,0.353088017246918,0.350790792592528,0.326782939212328,0.313280393783599,0.310345465649083
"RSA",651.134198459432,653.490100305752,634.584716853766,615.074773247217,591.526391156392,588.933799847399,599.326528032341,627.334979861667,645.602711995761,661.806665030008,664.557886727218,661.047735380379,663.008039662374,666.507823453954,667.253670836641,672.174568351733,672.028413253395,677.314855838158,676.476243094084,677.851246616235
