"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",123.407596398765,113.380718882615,108.240217869171,107.44110586747,110.644567169259,110.375430645998,110.447260517306,113.525196876435,118.024975373325,124.392388752944,126.228401183633,126.705863828438,128.996900492501,130.854681806872,132.911792561758,134.769853270441,135.785118650168,136.259857883754,136.258094244639,135.981674471801
"RSquare",0.715024806453549,0.742213077700915,0.755129781203349,0.757078770833783,0.749170896673657,0.749845061782468,0.749665311262722,0.741840363146824,0.729958425698807,0.712204528387703,0.706871762433885,0.705468838043393,0.698643129955078,0.69299225036676,0.68661135490292,0.680733970024211,0.677476062332588,0.675941274425151,0.675946989601194,0.676841499325976
"RSA",609.384900042901,594.529021056821,595.167555808937,615.418531915953,602.444862025398,611.135446392506,619.806127469779,616.173115223692,629.859230359048,634.011165528885,648.637680533331,654.52795276597,655.798078258293,660.58776486256,669.087286435538,677.604833816267,684.550147409122,687.838651620752,689.632112322756,689.239316681464
