"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",170.931698186925,164.132667585442,171.632289085228,164.794183097839,166.872813489704,167.17357579974,175.619867069226,175.856873014754,181.899324923137,182.478050305406,185.212168678281,185.585508044016,190.306346379195,192.316383078611,192.679085476227,198.680672695448,198.328817015769,200.228500931779,202.67704408946,206.563406053598
"RSquare",0.540821474789798,0.571003494915027,0.537593216597989,0.568156209251234,0.559085829723134,0.557757729868576,0.51878181848796,0.517639950173421,0.487594990961086,0.48462097572378,0.470335502155234,0.468354360188167,0.442654374432559,0.431338173923996,0.429271878860851,0.393970403891386,0.396099006445286,0.384517135233086,0.36926075434797,0.344265384911703
"RSA",659.071062853352,651.076451760662,633.859826287908,672.266598281413,678.244052132415,675.844523413169,670.87428884165,670.494815625333,673.832662903664,681.45010348405,687.300431092999,689.194134411712,678.915955300512,678.372242268575,675.410479359701,681.101119226985,686.067292927183,683.373624923284,680.659563864221,685.687162344364
