"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",146.752531044985,140.035413877236,118.48573078882,132.958253154752,137.532923969252,144.955997264943,144.649704863382,145.803756585488,148.006790155687,151.35762267369,155.456277033501,158.687322576327,163.44604382147,166.308541207243,168.483920047864,168.203169182694,167.371480115802,166.672940959936,167.400045210966,167.112897705704
"RSquare",0.63612973218376,0.659768514607846,0.725725509672364,0.683014948026393,0.668177122100096,0.642608414353333,0.643701402899066,0.639565714713384,0.631537114744968,0.618981354100702,0.60304026320342,0.590004857394786,0.570022653485571,0.557536710850248,0.547806001922448,0.549073760030648,0.552808511978494,0.555921434474666,0.552680753058013,0.553963376723926
"RSA",690.215880559393,659.473423575598,637.797893079873,636.144019223874,647.688796075238,668.155469724123,682.298911629413,684.352841345542,684.116529093072,677.985812731878,693.033827187425,692.038452438033,700.893501929417,702.601269487156,713.276611804521,712.350856759349,706.35597766069,707.941515758937,711.718089881657,709.599598119527
