"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",209.614256301107,195.733477860992,196.043427085394,205.855930662658,208.290230464384,217.363454579257,219.174607218613,222.725085132139,223.34900934658,224.414343538538,229.585986334343,231.703953378745,233.914049546451,238.779943347061,240.377822347035,241.320533205374,242.322960391189,243.272715704813,243.651081283072,244.409152247818
"RSquare",0.499515237790284,0.564380407274824,0.563028113095777,0.517976004131053,0.506098109721276,0.459189394154106,0.449305250314073,0.42940171026406,0.425830480067343,0.419680957529476,0.388879319055718,0.375797943821838,0.361848902265473,0.330029270835883,0.319237962830012,0.312790000116513,0.305866577092254,0.299242602039107,0.296586154886455,0.291233515997403
"RSA",541.950940172752,549.105409647271,551.709837941798,575.200335421472,604.675435241909,595.957817369434,598.881360611631,595.098654731516,590.194681344959,589.124491160053,599.443198482553,603.173439874167,607.677259509859,614.675372709826,620.159901435843,622.45869457704,626.344712031104,628.869122653268,632.922028534405,633.632254147743
