"","K=1","K=2","K=3","K=4","K=5","K=6","K=7","K=8","K=9","K=10","K=11","K=12","K=13","K=14","K=15","K=16","K=17","K=18","K=19","K=20"
"AIC",154.085797142139,130.418800185205,133.203354086967,135.483639140801,139.814826891148,140.533844888427,150.218696683471,155.69945983042,163.397166851018,167.344328302848,169.909557023997,173.101528233066,174.67769972513,177.875943554373,179.414427205608,184.052995706304,187.234181074395,190.645988372213,193.601702099149,194.590925326017
"RSquare",0.669818276543274,0.739403506147444,0.732045082123151,0.725864749374463,0.713730556479188,0.711664810014825,0.682343002812632,0.664447036975169,0.637596990996593,0.623006294266251,0.613210437550979,0.600665068955928,0.594321000252198,0.581136687245328,0.574642717414863,0.554447464092372,0.540045753982104,0.524082227559195,0.509805510546841,0.504932329218763
"RSA",585.056991891903,563.797214816922,551.629143343518,511.474721048442,489.530467344352,484.648271284886,473.875236677411,495.766242283385,508.772729379053,505.21615450166,508.230584603725,523.546143719702,529.736664214135,544.158646738053,546.915057247997,554.45200498911,559.741741282561,563.829527974287,558.195208003112,561.341018689004
